count,len_mm,wid_mm,group
1,22.93,20.98,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
2,33.66,30.73,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
3,35.23,21.49,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
4,27.32,26.83,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
5,23.19,21.65,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
6,22.22,21.75,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
7,28.29,26.34,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
8,22.44,20.98,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
9,23.46,21.39,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
10,22.44,21.46,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
11,33.69,32.61,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
12,28.29,25.85,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
13,22.44,20.98,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
14,32.68,31.22,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
15,23.76,20.67,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
16,32.2,31.22,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
17,33.27,31.41,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
18,21.95,21.46,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
19,21.95,21.95,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
20,32.68,30.73,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
21,38.55,34.65,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
22,37.04,33.49,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
23,32.68,31.71,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
24,22.44,22.44,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
25,22.44,21.46,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
26,32.72,31.77,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
27,92.86,52.87,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
28,21.95,21.46,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
29,26.34,26.34,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
30,32.68,31.22,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
31,33.17,31.22,"aerialImage_(18, 38.4923, 21.0286, 38.4833, 21.0401)_t"
