"day","0_faeces_c1","faeces_c2","faeces_l1","faeces_l2","faeces_p1","faeces_p2","feed_c1","feed_c2","feed_l1","feed_l2","feed_p1","feed_p2"
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0
31,0.222088488447683,0.0464639043299529,0.049093244814751,0.0102709683255685,0.361575644349912,0.0756464968740286,0.165242075414037,0.311241464411168,0.149504734898414,0.281599420181533,0.346221491343696,0.652124973051971
32,0.431939102182585,0.106139301601519,0.0954812752193084,0.0234623719329674,0.703227169869191,0.172802231379315,0.421952536357995,0.710980967665678,0.381766580514376,0.643268494554661,0.884091028559609,1.48967440844237
33,0.619816600369847,0.172279652151577,0.137012090608071,0.0380828704756118,1.00910492130389,0.280483363502919,0.816344507083742,1.15402637804884,0.738597411171005,1.04411910394895,1.71043611008022,2.41796003019757
34,0.756604201378451,0.232547080080146,0.167249349778395,0.0514051440177165,1.23180473487579,0.378602965463816,1.56245760346824,1.5577316369005,1.41365211742364,1.40937624290997,3.27372069298107,3.26381866779152
35,0.826169909133948,0.280304739137074,0.182627032545399,0.0619621002303005,1.34506258890579,0.456355785823165,2.74935411189883,1.8776394009182,2.48751086314656,1.69881660083075,5.76055147254993,3.93410160192384
