"","x"
"1",904779
"2",904777.99569531
"3",904776.991391735
"4",904775.987089274
"5",904774.982787929
"6",904773.978487698
"7",904772.974188582
"8",904771.96989058
"9",904770.965593694
"10",904769.961297922
"11",904768.957003265
"12",904767.952709723
"13",904766.948417295
"14",904765.944125982
"15",904764.939835784
"16",904763.935546701
"17",904762.931258733
"18",904761.926971879
"19",904760.92268614
"20",904759.918401516
"21",904758.914118006
"22",904757.909835612
"23",904756.905554332
"24",904755.901274167
"25",904754.896995116
"26",904753.892717181
"27",904752.88844036
"28",904751.884164653
"29",904750.879890062
"30",904749.875616585
"31",904748.871344223
"32",904747.867072976
"33",904746.862802844
"34",904745.858533826
"35",904744.854265923
"36",904743.849999135
"37",904742.845733461
"38",904741.841468903
"39",904740.837205459
"40",904739.832943129
"41",904738.828681915
"42",904737.824421815
"43",904736.82016283
"44",904735.815904959
"45",904734.811648204
"46",904733.807392563
"47",904732.803138037
"48",904731.798884625
"49",904730.794632328
"50",904729.790381146
"51",904728.786131079
"52",904727.781882126
"53",904726.777634289
"54",904725.773387565
"55",904724.769141957
"56",904723.764897463
"57",904722.760654084
"58",904721.75641182
"59",904720.75217067
"60",904719.747930635
"61",904718.743691715
"62",904717.73945391
"63",904716.735217219
"64",904715.730981643
"65",904714.726747181
"66",904713.722513835
"67",904712.718281603
"68",904711.714050485
"69",904710.709820483
"70",904709.705591595
"71",904708.701363822
"72",904707.697137163
"73",904706.692911619
"74",904705.68868719
"75",904704.684463876
"76",904703.680241676
"77",904702.676020591
"78",904701.67180062
"79",904700.667581765
"80",904699.663364024
"81",904698.659147397
"82",904697.654931886
"83",904696.650717489
"84",904695.646504207
"85",904694.642292039
"86",904693.638080986
"87",904692.633871048
"88",904691.629662224
"89",904690.625454515
"90",904689.621247921
"91",904688.617042442
"92",904687.612838077
"93",904686.608634826
"94",904685.604432691
"95",904684.60023167
"96",904683.596031763
"97",904682.591832972
"98",904681.587635295
"99",904680.583438733
"100",904679.579243285
"101",904678.575048952
"102",904677.570855734
"103",904676.56666363
"104",904675.562472641
"105",904674.558282767
"106",904673.554094007
"107",904672.549906362
"108",904671.545719832
"109",904670.541534416
"110",904669.537350115
"111",904668.533166928
"112",904667.528984857
"113",904666.524803899
"114",904665.520624057
"115",904664.516445329
"116",904663.512267716
"117",904662.508091217
"118",904661.503915833
"119",904660.499741564
"120",904659.495568409
"121",904658.491396369
"122",904657.487225443
"123",904656.483055633
"124",904655.478886936
"125",904654.474719355
"126",904653.470552888
"127",904652.466387536
"128",904651.462223298
"129",904650.458060175
"130",904649.453898167
"131",904648.449737273
"132",904647.445577494
"133",904646.441418829
"134",904645.437261279
"135",904644.433104844
"136",904643.428949523
"137",904642.424795317
"138",904641.420642225
"139",904640.416490248
"140",904639.412339386
"141",904638.408189638
"142",904637.404041005
"143",904636.399893487
"144",904635.395747083
"145",904634.391601793
"146",904633.387457619
"147",904632.383314559
"148",904631.379172613
"149",904630.375031782
"150",904629.370892066
"151",904628.366753464
"152",904627.362615977
"153",904626.358479605
"154",904625.354344347
"155",904624.350210204
"156",904623.346077175
"157",904622.341945261
"158",904621.337814461
"159",904620.333684776
"160",904619.329556206
"161",904618.32542875
"162",904617.321302409
"163",904616.317177182
"164",904615.31305307
"165",904614.308930073
"166",904613.30480819
"167",904612.300687421
"168",904611.296567768
"169",904610.292449228
"170",904609.288331804
"171",904608.284215494
"172",904607.280100298
"173",904606.275986217
"174",904605.271873251
"175",904604.267761399
"176",904603.263650662
"177",904602.259541039
"178",904601.255432531
"179",904600.251325138
"180",904599.247218859
"181",904598.243113694
"182",904597.239009644
"183",904596.234906709
"184",904595.230804888
"185",904594.226704182
"186",904593.22260459
"187",904592.218506113
"188",904591.214408751
"189",904590.210312503
"190",904589.20621737
"191",904588.202123351
"192",904587.198030446
"193",904586.193938656
"194",904585.189847981
"195",904584.18575842
"196",904583.181669974
"197",904582.177582643
"198",904581.173496425
"199",904580.169411323
"200",904579.165327335
"201",904578.161244461
"202",904577.157162702
"203",904576.153082058
"204",904575.149002528
"205",904574.144924113
"206",904573.140846812
"207",904572.136770625
"208",904571.132695554
"209",904570.128621596
"210",904569.124548753
"211",904568.120477025
"212",904567.116406412
"213",904566.112336912
"214",904565.108268528
"215",904564.104201257
"216",904563.100135102
"217",904562.096070061
"218",904561.092006134
"219",904560.087943322
"220",904559.083881624
"221",904558.079821041
"222",904557.075761573
"223",904556.071703219
"224",904555.067645979
"225",904554.063589854
"226",904553.059534843
"227",904552.055480947
"228",904551.051428166
"229",904551.051428166
"230",904550.047376498
"231",904549.043325946
"232",904548.039276508
"233",904547.035228184
"234",904546.031180975
"235",904545.027134881
"236",904544.0230899
"237",904543.019046035
"238",904542.015003284
"239",904541.010961647
"240",904540.006921125
"241",904539.002881717
"242",904537.998843424
"243",904536.994806245
"244",904535.990770181
"245",904534.986735231
"246",904533.982701396
"247",904532.978668675
"248",904531.974637069
"249",904530.970606577
"250",904529.9665772
"251",904528.962548937
"252",904527.958521788
"253",904526.954495754
"254",904525.950470835
"255",904524.94644703
"256",904523.942424339
"257",904522.938402763
"258",904521.934382302
"259",904520.930362955
"260",904519.926344722
"261",904518.922327604
"262",904517.9183116
"263",904516.91429671
"264",904515.910282935
"265",904514.906270275
"266",904513.902258729
"267",904512.898248298
"268",904511.894238981
"269",904510.890230778
"270",904509.88622369
"271",904508.882217716
"272",904507.878212857
"273",904506.874209112
"274",904505.870206482
"275",904504.866204966
"276",904503.862204565
"277",904502.858205277
"278",904501.854207105
"279",904500.850210047
"280",904499.846214103
"281",904498.842219274
"282",904497.838225559
"283",904496.834232958
"284",904495.830241472
"285",904494.826251101
"286",904493.822261844
"287",904492.818273701
"288",904491.814286673
"289",904490.810300759
"290",904489.80631596
"291",904488.802332274
"292",904487.798349704
"293",904486.794368248
"294",904485.790387906
"295",904484.786408679
"296",904483.782430566
"297",904482.778453567
"298",904481.774477683
"299",904480.770502914
"300",904479.766529258
"301",904478.762556717
"302",904477.758585291
"303",904476.754614979
"304",904475.750645781
