"day","faeces_c1","faeces_c2","faeces_l1","faeces_l2","faeces_p1","faeces_p2","feed_c1","feed_c2","feed_l1","feed_l2","feed_p1","feed_p2","nh4_1","nh4_2"
1,0.591846861734469,0.15021942379451,0.130829306278146,0.0332063989440495,0.96356822401682,0.244567763651412,149.30452997144,1.00625451345604,135.085050926541,0.910420750269756,312.828538987779,2.10834279009838,13.6184571449668,4.9823682861197
2,0.60078867694137,0.149201375523393,0.132805918060724,0.0329813566946447,0.978126126669458,0.24291030962405,149.244124450492,0.999435051352866,135.03039831235,0.904250760747832,312.701975039125,2.09405439331078,14.2346907926023,5.06055086011814
3,0.625536701196562,0.152256938288867,0.138276533948714,0.0336567968849074,1.01841764686037,0.247884980231699,149.077840018943,1.01990293590629,134.879950493329,0.922769322962829,312.3535695635,2.13693948475603,15.0802955361439,5.21492682851013
4,0.65077344712191,0.155458282725991,0.143855183048001,0.0343644624973244,1.05950484022655,0.253096993631087,148.908281855404,1.04134734840377,134.726540726318,0.942171410460551,311.998304839893,2.18187063475076,15.9588585116442,5.37165717025899
5,0.674755498918836,0.158403207580511,0.149156478708374,0.0350154458862182,1.09854930350295,0.257891537955638,148.747128343213,1.06107411776419,134.580735167669,0.960019439881879,311.660649861971,2.22320291341068,16.8450109258119,5.52256730868303
6,0.687412037380843,0.158811167987524,0.151954239842081,0.0351056266077685,1.11915503629723,0.258555726127057,148.661839515334,1.06380686690208,134.503569085303,0.962491927197116,311.481949460701,2.22892867350912,17.5841310075677,5.62021539715811
7,0.698949947062112,0.159140780252625,0.154504725140046,0.0351784882663697,1.13793956293621,0.259092358025326,148.584043896284,1.0660147959506,134.433182572829,0.964489577288635,311.318949116024,2.23355481056315,18.3158740873688,5.71348430040793
8,0.716895614326626,0.161068460613119,0.158471662114307,0.0356046070829001,1.16715636858791,0.262230756928026,148.463325500849,1.07892748736061,134.323961167435,0.976172488564355,311.066015335113,2.26060997351746,19.1540566520449,5.83699139027962
9,0.740915411144316,0.164437820060535,0.163781301410849,0.0363494128554866,1.20626228340689,0.267716310554695,148.301919157939,1.10149735925717,134.177926857183,0.996592848851727,310.727830616635,2.30789922891979,20.1028857714195,5.98898252867118
10,0.783459198336946,0.171903385375245,0.173185717527115,0.0379996957145278,1.27552655448541,0.279870774786363,148.016428670662,1.15150593074327,133.919625940123,1.0418386992439,310.129660071863,2.41267909298589,21.3738907303374,6.22731620980471
11,0.794489517470744,0.172496393361115,0.175623998598796,0.0381307816903517,1.29348468809272,0.280836233401955,147.942033186421,1.15547823304096,133.852315740095,1.04543268703706,309.973783819168,2.42100201208582,22.1766373835713,6.32246194849976
12,0.814414026072497,0.175141676417992,0.180028363658131,0.0387155284713456,1.3259231863075,0.285142939852449,147.808059401209,1.17319783246502,133.731101362998,1.06146470556359,309.693076840627,2.45812879183146,23.1337499146697,6.45941986735709
13,0.830126355002285,0.176979039424494,0.183501615316295,0.0391216823990987,1.35150396042477,0.28813429576479,147.702301175292,1.18550552724541,133.635415349074,1.07260023893633,309.471488176803,2.48391634279991,24.0375923429942,6.57864352784772
14,0.847764931830063,0.179325426499856,0.187400669141382,0.0396403574368103,1.38022080129526,0.291954378582222,147.583639855094,1.20122295263062,133.52805510699,1.08682076666579,309.222864458292,2.51684809122604,24.9863799640266,6.70790886804847
15,0.853105356998036,0.179184892109902,0.188581184178513,0.0396092919400836,1.3889153882354,0.291725578733314,147.547358499852,1.20028157394193,133.495229118913,1.08596904309032,309.146846380641,2.51487567873546,25.7390890475584,6.78405418205983
16,0.877765400963526,0.183193477461806,0.194032351791937,0.0404954002810309,1.42906367034062,0.298251836990449,147.381663431861,1.22713334184942,133.345314533589,1.11026349976852,308.799675761995,2.57113652577974,26.8258202859872,6.94682261447572
17,0.892612920328417,0.185220427857559,0.197314435019966,0.040943463000092,1.45323647379784,0.301551854476868,147.281698195416,1.24071100000279,133.254869795853,1.12254804762157,308.590224790396,2.59958495238679,27.7635425698989,7.06831332545344
18,0.91842381260247,0.189585158614518,0.203020000680546,0.0419082982200514,1.49525841771069,0.308657942446093,147.108294099064,1.26994843091064,133.097980375343,1.14900096130011,308.226901921848,2.66084433143183,28.9069503091107,7.23955576360616
19,0.923891906089893,0.189824056549373,0.204228737135661,0.0419611072372297,1.50416085763407,0.309046885048803,147.071157556077,1.27154870415848,133.064380645974,1.15044882757196,308.149092022256,2.66419728490348,29.7086841353122,7.32402804145961
20,0.961796913635967,0.196782003266575,0.21260773880374,0.0434991796694535,1.56587286991961,0.320374910581372,146.816740250746,1.31815695968041,132.834193560198,1.19261820161561,307.616027192039,2.76185267742562,31.1003629648873,7.55138488545447
21,0.977025068943919,0.19914076072618,0.215973962608656,0.0440205892131557,1.59066537540343,0.324215133252448,146.714225306589,1.33395724888351,132.741441944057,1.20691370137079,307.401233975711,2.79495804527972,32.1121526978456,7.68290444802175
22,0.988522718413318,0.200808794135646,0.218515548280839,0.0443893123878797,1.60938435559221,0.326930808698034,146.636699398443,1.3451306784206,132.671299455734,1.21702299476149,307.238798739595,2.8183690405003,33.0652854487076,7.80020631563575
23,0.979916334766747,0.198478288465279,0.216613084527386,0.0438741479765353,1.59537255905884,0.323136581922418,146.693841656395,1.32951963565258,132.722999593881,1.20289871797139,307.358525375303,2.78566018898637,33.6489699734277,7.83287573344478
24,1.00313475083535,0.202660968475768,0.221745576500446,0.0447987403999066,1.63317376978106,0.329946278500899,146.537803439471,1.35753758787596,132.581822159521,1.22824829379253,307.031588158891,2.84436446983534,34.8178855711962,8.00296985299916
25,1.04375103150741,0.210384821579904,0.230723912227954,0.0465061184545052,1.69929992498049,0.342521253379212,146.265224504399,1.40927631680318,132.335203123028,1.27505952472669,306.46047039017,2.95276942568287,36.3419638879182,8.25081958473569
26,1.06800943519152,0.214839333503932,0.236086296200231,0.0474908000377112,1.73879430852234,0.349773511388857,146.102219866626,1.43911515265791,132.187722736471,1.30205656669049,306.118936863407,3.01528889128325,37.5903557803453,8.43234485166071
27,1.05201600348582,0.211256957277608,0.232550906033708,0.0466989063455766,1.71275587935937,0.343941151497579,146.208844749896,1.41511837410838,132.284192868953,1.28034519562186,306.342341380734,2.96500992670326,38.0691529188363,8.44317446550132
28,1.08706696777155,0.217975029686976,0.240299013928448,0.0481839539308054,1.76982130893333,0.354878644823709,145.973545451175,1.46011981608501,132.071303027254,1.32106078598167,305.849333326272,3.05929866227335,39.5332238165905,8.67348558495193
29,1.11035224175112,0.222363938265961,0.245446285018668,0.0491541337219494,1.80773136902638,0.362024095983881,145.81705939064,1.48951920369544,131.929720401055,1.34766023191492,305.521457770865,3.12089737917138,40.7967405506813,8.85728034177597
30,1.14928313872606,0.229916260286191,0.254052062244708,0.0508235943790529,1.87111360129436,0.374319806220325,145.555770115553,1.54010892057736,131.693315818834,1.39343188052237,304.973994527826,3.22689488120971,42.3998516818396,9.11218277817346
31,1.17677185329948,0.235209536404422,0.260128514939885,0.0519936869946618,1.91586715765248,0.382937631198779,145.371127040056,1.57556627256551,131.526257798146,1.42551234184498,304.587123322022,3.30118647585153,43.8066538283712,9.3221373942348
32,1.20085364711044,0.239856543293442,0.26545185883494,0.053020920096445,1.95507400792717,0.390503284519849,145.209305445035,1.60669454837712,131.379847783603,1.45367601996025,304.248068551502,3.36640762517111,45.1670374371457,9.52087947362938
33,1.20214680724579,0.239990233816566,0.265737715285911,0.0530504727383987,1.95717936337559,0.390720942073286,145.200134986368,1.60759008298178,131.371550701952,1.45448626555494,304.228854257153,3.36828398339038,46.0652187030947,9.62300616435568
34,1.18192280147959,0.235869002932186,0.261267145590226,0.0521394638060623,1.92425326275976,0.384011288984332,68.7089562125179,1.57998375169886,62.16524609704,1.42950910867992,143.961622540514,3.31044214641665,46.5063775815591,9.63365959692721
35,1.26116495106037,0.251627335298547,0.27878383128703,0.0556228846449419,2.05326504312987,0.409666959924651,144.803781858963,1.68554195893763,131.012945491442,1.52501415332452,303.398400085446,3.53161172348837,49.0456446694065,10.0774177307147
36,1.26553678445311,0.252475664758166,0.27975023656332,0.0558104101044366,2.06038269468857,0.411048099816803,107.411076118788,1.69122454861929,97.1814498217607,1.53015554398888,225.051778534604,3.54351810186899,50.0456308290613,10.2018544867097
37,1.28461954694448,0.256289397412609,0.283968531429833,0.0566534457438399,2.09145077116575,0.417257124208599,107.282864750599,1.71677108314666,97.0654490600658,1.55326907522793,224.783145191731,3.59704417421205,51.3672925103397,10.3929819171207
38,1.31199968458524,0.261787551872022,0.290020982908317,0.0578688272559206,2.13602755665808,0.426208505503923,107.099072880291,1.75360082593699,96.899161177406,1.5865912234668,224.398057463467,3.67421125434416,52.8877321870367,10.6240261635607
39,1.32557061067882,0.2645581789665,0.293020871834266,0.058481281666279,2.15812197668412,0.430719280843705,107.007782906788,1.7721600504933,96.8165654870941,1.60338290282727,224.206783233271,3.71309724865263,54.1220569244403,10.79770956152
40,1.33517966042226,0.266563348679781,0.295144977567025,0.0589245297081622,2.17376618398571,0.433983837850591,106.943031819202,1.78559180933825,96.7579811697539,1.61553544654413,224.071114287851,3.74123998147061,55.2750423896638,10.9563507328969
41,1.36087333260233,0.271804663263999,0.300824631417357,0.0600831360899366,2.21559728535958,0.442517065805247,106.770536850539,1.82070109363444,96.6019142933444,1.64730098947878,223.709696258271,3.81480229142454,56.7980188704502,11.1888662873957
42,1.35955054770332,0.271672118603192,0.300532226334419,0.0600538367438636,2.21344369871699,0.442301273796074,106.779013365976,1.81981323466253,96.6095835215972,1.6464976885042,223.72745657633,3.8129420154834,57.7224035043584,11.304574995499
43,1.37221381831012,0.274352968389177,0.303331475626448,0.0606464456439233,2.23406039191542,0.446665885377467,106.693803386476,1.83777108011889,96.5324887782402,1.66274526296471,223.548921381188,3.85056797739195,58.9620547200116,11.4837771030856
44,1.37786586710809,0.275650013117752,0.304580875887053,0.0609331607944505,2.24326232399353,0.44877756521627,48.3962910556758,1.84645941801365,43.7871204789448,1.67060614010759,101.401752688083,3.86877211393336,60.0463405543486,11.6340748731859
45,1.38199123613659,0.276656580130029,0.305492799567037,0.0611556650813749,2.24997871427151,0.450416326948539,48.3684659341907,1.85320197216287,43.7619453690297,1.6767065462426,101.343452433542,3.88289937024602,61.0951505746166,11.779193619955
46,1.41255877419736,0.282975140276506,0.312249834296259,0.0625523994295435,2.29974481132483,0.460703386274732,48.1635162360895,1.89552725544071,43.5765146897952,1.71500085016064,100.914034018473,3.97158091616149,62.7627386697067,12.0442283263803
47,1.43132882439547,0.286951379922062,0.31639900328742,0.0634313576669821,2.33030377024385,0.467176983452059,48.0375927731085,1.92216235354491,43.4625839375743,1.73909927225492,100.650194381751,4.02738778837982,64.1776273320089,12.2608245807225
48,1.47822047142178,0.296590072985761,0.326764525261657,0.0655620161336945,2.40664666224458,0.482869452159273,105.98178977551,1.98672776162711,95.8882859873658,1.7975155938531,222.057083339163,4.16266769102822,66.2817272490254,12.608609779988
49,1.53189135666706,0.307622475780317,0.338628615684298,0.0680007578040701,2.49402662980181,0.500830978112516,105.621887648181,2.06062902436576,95.562660253116,1.86437864109283,221.303002691427,4.31750843200445,68.6024761036079,12.995948187033
50,1.55678066296188,0.312903799424725,0.344130462338942,0.0691682082938865,2.53454816706776,0.509429343624815,105.454780787823,2.09600631193595,95.4114683318398,1.89638666318015,220.952874031629,4.39163227262771,70.266894098438,13.2582688516125
51,1.57731163108152,0.317328778146098,0.348668886870652,0.070146361484927,2.56797402393623,0.516633519508033,105.316868538525,2.12564731772506,95.286690582475,1.92320471603696,220.6639150331,4.45373723713821,71.8422807681458,13.5043910190865
52,1.60689891549487,0.323596212804763,0.355209233951498,0.0715317944094739,2.61614419926182,0.526837342952316,105.11829197083,2.16763013362042,95.1070260688464,1.96118916851371,220.247849843644,4.54170123234754,73.6615760430875,13.7968589427631
53,1.59839742434591,0.322204721827441,0.353329956960675,0.0712242016671185,2.60230317507544,0.524571897992745,105.174855527793,2.15830914142783,95.1582026203845,1.95275588986328,220.366363962996,4.52217153442021,74.5374703851783,13.9140626615404
54,1.61228821553477,0.325332865307532,0.356400552907686,0.0719156860153492,2.62491835792327,0.529664735097174,105.081422936399,2.17926321258634,95.0736683710278,1.97171433519716,220.17060043817,4.56607530256184,75.9702032381213,14.137086077134
55,1.63534617294368,0.330325314612455,0.361497575071761,0.0730192800722268,2.66245833068725,0.537792792912908,104.926583491216,2.21270545673415,94.9335755396719,2.00197160371184,219.846174933977,4.6361447664906,77.6459019725947,14.4062471551168
56,1.64446666743109,0.332515005774941,0.363513684379505,0.0735033170660396,2.67730713574747,0.541357763787974,104.865105042954,2.22737324442544,94.8779521817203,2.01524245924207,219.717362947142,4.66687727403426,78.9789015693689,14.6128814412154
57,1.66566183462753,0.337157563467924,0.368198931865033,0.0745295666613306,2.71181435532342,0.548916173505672,82.5598471980638,2.25847171701001,74.697004607772,2.04337917253287,172.982536986419,4.73203597849717,80.6286599101405,14.8792321588097
