Day	Pexc	Nexc	Cexc	Pwst	Nwst	Cwst
18091	0.08248	1.75683	13.38875	1.39786	15.99798	101.28657
18092	0.07758	1.65238	12.59277	1.31476	15.04687	95.26494
18093	0.08432	1.79595	13.68687	1.42899	16.35418	103.5418
18094	0.08734	1.86034	14.17758	1.48022	16.94053	107.25411
18095	0.08847	1.88438	14.3608	1.49935	17.15945	108.64011
18096	0.08829	1.8805	14.33125	1.49626	17.12414	108.41658
18097	0.09016	1.92033	14.63482	1.52796	17.48687	110.71309
18098	0.09345	1.99054	15.16986	1.58382	18.12619	114.76075
18099	0.09746	2.07583	15.81985	1.65168	18.90285	119.67796
18100	0.09704	2.06698	15.7524	1.64464	18.82225	119.16768
18101	0.09761	2.07912	15.84488	1.65429	18.93276	119.86729
18102	0.09597	2.04412	15.57817	1.62645	18.61407	117.84964
18103	0.09605	2.0459	15.59175	1.62787	18.63029	117.95231
18104	0.10426	2.22067	16.92363	1.76692	20.22174	128.02809
18105	0.10409	2.21706	16.89618	1.76406	20.18893	127.8204
18106	0.09892	2.10691	16.05669	1.67641	19.18585	121.46966
18107	0.09496	2.02254	15.41373	1.60928	18.41759	116.60563
18108	0.10026	2.1356	16.27538	1.69924	19.44715	123.12404
18109	0.10568	2.25104	17.15508	1.79109	20.49828	129.77897
18110	0.10627	2.26359	17.25078	1.80108	20.61264	130.50299
18111	0.10175	2.16715	16.51579	1.72434	19.73441	124.94274
18112	0.10193	2.17101	16.54518	1.72741	19.76952	125.16504
18113	0.11094	2.36304	18.00863	1.8802	21.51818	136.23615
18114	0.11139	2.37253	18.08097	1.88775	21.60462	136.78342
18115	0.10228	2.17844	16.6018	1.73332	19.83718	125.59339
18116	0.1042	2.21944	16.91427	1.76594	20.21055	127.95725
18117	0.11169	2.3789	18.12951	1.89282	21.66261	137.15058
18118	0.11321	2.41138	18.37708	1.91867	21.95844	139.02351
18119	0.1128	2.40271	18.31097	1.91177	21.87944	138.52339
18120	0.11923	2.53964	19.35456	2.02072	23.1264	146.41815
18121	0.11936	2.54237	19.37534	2.02289	23.15124	146.57541
18122	0.11769	2.50686	19.10471	1.99464	22.82787	144.52806
18123	0.11863	2.5268	19.25667	2.0105	23.00943	145.67759
18124	0.12098	2.57677	19.6375	2.05026	23.46448	148.55862
18125	0.12403	2.64174	20.13261	2.10196	24.05608	152.30415
18126	0.12284	2.61651	19.94032	2.08188	23.82632	150.84945
18127	0.12535	2.66998	20.34787	2.12443	24.31329	153.93262
18128	0.1305	2.77959	21.18316	2.21164	25.31136	160.2516
18129	0.13382	2.85026	21.72172	2.26787	25.95488	164.32586
18130	0.13453	2.86555	21.8383	2.28004	26.09418	165.20776
18131	0.13305	2.83394	21.59735	2.25488	25.80628	163.38502
18132	0.14435	3.07463	23.4317	2.4464	27.9981	177.26191
18133	0.14802	3.15272	24.02682	2.50853	28.70921	181.76407
18134	0.15377	3.2752	24.96022	2.60599	29.8245	188.82525
18135	0.15429	3.28644	25.04583	2.61492	29.9268	189.47293
18136	0.1515	3.227	24.59289	2.56763	29.38559	186.04637
18137	0.15524	3.30667	25.20003	2.63102	30.11105	190.63945
18138	0.15346	3.26871	24.91074	2.60082	29.76538	188.45093
18139	0.15845	3.37504	25.72108	2.68542	30.73364	194.58117
18140	0.15638	3.33084	25.38423	2.65025	30.33114	192.03288
18141	0.15168	3.23081	24.62192	2.57067	29.42027	186.26598
18142	0.15143	3.22544	24.581	2.56639	29.37138	185.95645
18143	0.16069	3.42274	26.08462	2.72338	31.16803	197.33142
18144	0.16596	3.53485	26.93896	2.81258	32.18886	203.79449
18145	0.16939	3.60796	27.49616	2.87075	32.85465	208.00978
18146	0.17885	3.80944	29.03161	3.03106	34.68934	219.62555
18147	0.19258	4.10189	31.26036	3.26376	37.35243	236.48615
18148	0.19324	4.11603	31.36814	3.27501	37.48121	237.30148
18149	0.19222	4.09421	31.20189	3.25765	37.28256	236.04377
18150	0.19464	4.14577	31.5948	3.29867	37.75204	239.01617
