"","x"
"1",1908518
"2",1907733.599102
"3",1906949.52059277
"4",1906165.76433981
"5",1905382.33021066
"6",1904599.21807295
"7",1903816.42779432
"8",1903033.95924249
"9",1902251.81228525
"10",1901469.9867904
"11",1900688.48262583
"12",1899907.29965947
"13",1899126.43775931
"14",1898345.89679339
"15",1897565.6766298
"16",1896785.77713671
"17",1896006.19818231
"18",1895226.93963485
"19",1894448.00136266
"20",1893669.3832341
"21",1892891.08511759
"22",1892113.10688161
"23",1891335.44839468
"24",1890558.10952539
"25",1889781.09014238
"26",1889004.39011433
"27",1888228.00930999
"28",1887451.94759817
"29",1886676.2048477
"30",1885900.78092751
"31",1885125.67570655
"32",1884350.88905383
"33",1883576.42083843
"34",1882802.27092947
"35",1882028.43919612
"36",1881254.92550761
"37",1880481.72973322
"38",1879708.8517423
"39",1878936.29140424
"40",1878164.04858847
"41",1877392.1231645
"42",1876620.51500188
"43",1875849.22397021
"44",1875078.24993916
"45",1874307.59277844
"46",1873537.2523578
"47",1872767.22854709
"48",1871997.52121615
"49",1871228.13023493
"50",1870459.05547341
"51",1869690.29680161
"52",1868921.85408962
"53",1868153.72720759
"54",1867385.91602571
"55",1866618.42041422
"56",1865851.24024343
"57",1865084.37538369
"58",1864317.82570541
"59",1863551.59107904
"60",1862785.67137511
"61",1862020.06646417
"62",1861254.77621686
"63",1860489.80050383
"64",1859725.13919583
"65",1858960.79216362
"66",1858196.75927804
"67",1857433.04040997
"68",1856669.63543037
"69",1855906.5442102
"70",1855143.76662053
"71",1854381.30253245
"72",1853619.15181711
"73",1852857.31434571
"74",1852095.78998952
"75",1851334.57861983
"76",1850573.68010802
"77",1849813.0943255
"78",1849052.82114373
"79",1848292.86043424
"80",1847533.2120686
"81",1846773.87591844
"82",1846014.85185544
"83",1845256.13975132
"84",1844497.73947789
"85",1843739.65090696
"86",1842981.87391044
"87",1842224.40836026
"88",1841467.25412842
"89",1840710.41108698
"90",1839953.87910802
"91",1839197.65806371
"92",1838441.74782624
"93",1837686.14826789
"94",1836930.85926095
"95",1836175.88067779
"96",1835421.21239083
"97",1834666.85427254
"98",1833912.80619544
"99",1833159.06803209
"100",1832405.63965513
"101",1831652.52093723
"102",1830899.71175112
"103",1830147.21196959
"104",1829395.02146548
"105",1828643.14011165
"106",1827891.56778107
"107",1827140.30434671
"108",1826389.34968162
"109",1825638.7036589
"110",1824888.3661517
"111",1824138.33703321
"112",1823388.61617669
"113",1822639.20345544
"114",1821890.09874282
"115",1821141.30191224
"116",1820392.81283715
"117",1819644.63139108
"118",1818896.75744757
"119",1818149.19088026
"120",1817401.93156281
"121",1816654.97936894
"122",1815908.33417242
"123",1815161.99584707
"124",1814415.96426678
"125",1813670.23930547
"126",1812924.82083711
"127",1812179.70873575
"128",1811434.90287546
"129",1810690.40313038
"130",1809946.20937469
"131",1809202.32148264
"132",1808458.73932851
"133",1807715.46278664
"134",1806972.49173144
"135",1806229.82603734
"136",1805487.46557884
"137",1804745.41023048
"138",1804003.65986688
"139",1803262.21436267
"140",1802521.07359257
"141",1801780.23743132
"142",1801039.70575374
"143",1800299.47843467
"144",1799559.55534904
"145",1798819.93637179
"146",1798080.62137794
"147",1797341.61024255
"148",1796602.90284074
"149",1795864.49904768
"150",1795126.39873857
"151",1794388.60178869
"152",1793651.10807335
"153",1792913.91746793
"154",1792177.02984785
"155",1791440.44508859
"156",1790704.16306565
"157",1789968.18365463
"158",1789232.50673115
"159",1788497.13217089
"160",1787762.05984956
"161",1787027.28964297
"162",1786292.82142692
"163",1785558.65507732
"164",1784824.79047008
"165",1784091.2274812
"166",1783357.9659867
"167",1782625.00586268
"168",1781892.34698527
"169",1781159.98923066
"170",1780427.93247509
"171",1779696.17659484
"172",1778964.72146626
"173",1778233.56696574
"174",1777502.71296971
"175",1776772.15935468
"176",1776041.90599719
"177",1775311.95277382
"178",1774582.29956123
"179",1773852.94623611
"180",1773123.89267521
"181",1772395.13875532
"182",1771666.68435329
"183",1770938.52934602
"184",1770210.67361046
"185",1769483.11702361
"186",1768755.85946251
"187",1768028.90080427
"188",1767302.24092604
"189",1766575.87970502
"190",1765849.81701846
"191",1765124.05274367
"192",1764398.58675799
"193",1763673.41893883
"194",1762948.54916365
"195",1762223.97730994
"196",1761499.70325527
"197",1760775.72687723
"198",1760052.04805348
"199",1760052.04805348
"200",1759328.66666173
"201",1758605.58257974
"202",1757882.7956853
"203",1757160.30585627
"204",1756438.11297056
"205",1755716.21690613
"206",1754994.61754098
"207",1754273.31475317
"208",1753552.30842081
"209",1752831.59842205
"210",1752111.1846351
"211",1751391.06693821
"212",1750671.2452097
"213",1749951.71932792
"214",1749232.48917128
"215",1748513.55461823
"216",1747794.91554728
"217",1747076.57183699
"218",1746358.52336596
"219",1745640.77001286
"220",1744923.31165639
"221",1744206.14817529
"222",1743489.27944839
"223",1742772.70535454
"224",1742056.42577264
"225",1741340.44058165
"226",1740624.74966057
"227",1739909.35288846
"228",1739194.25014442
"229",1738479.44130761
"230",1737764.92625723
"231",1737050.70487254
"232",1736336.77703284
"233",1735623.14261748
"234",1734909.80150586
"235",1734196.75357744
"236",1733483.99871172
"237",1732771.53678825
"238",1732059.36768663
"239",1731347.49128651
"240",1730635.9074676
"241",1729924.61610963
"242",1729213.61709241
"243",1728502.91029578
"244",1727792.49559965
"245",1727082.37288396
"246",1726372.5420287
"247",1725663.00291393
"248",1724953.75541973
"249",1724244.79942625
"250",1723536.13481369
"251",1722827.76146228
"252",1722119.67925232
"253",1721411.88806415
"254",1720704.38777815
"255",1719997.17827478
"256",1719290.2594345
"257",1718583.63113788
"258",1717877.29326548
"259",1717171.24569795
"260",1716465.48831597
"261",1715760.02100027
