Quantity,Description,Unit,,0,2,3,4,5,6,7,8,9,10,12,14,15,16,18,19,22,23,24,25,26,27,28,29,30,31,33,34,35,37,38,39,40,41,42,43,44,45,46,47,49,51,53,54,55,56,57,58,60,61,62,63,64,66,67,68,69,70,71,72,73,74,75,76,78,79,81,84,86,87,88,89,91,92,93,95,96,97,99,100,101,102,103,104,105,106,107,108,109,111,112,113,114,115,117,120,121,122,123,124,125,129,131,132,133,134,135,141,145,146,147,148,149,150,151,152,153,154,155,157,158,161,162,163,164,165,166,167,168,169,170,171,172,173,175,176,177,178,179,180,181,182,183,184,185,186,188,189,192,193,194,195,196,197,198,202,203,204,205,206,207,208,209,211,212,213,215,216,217,218,219,220,222,223,224,225,226,227,229,230,231,232,233,234,235,238,240,241,242,243,245,246,247,248,249,250,301,302,303,304,306,307,308,309,311,314,315,316,317,318,319,320,321,322,324,326,328,331,332,333,334
meanW,Dry weight average,g,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
deltaW,Dry weight standard deviation,g,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wlb,Dry weight lower bound,g,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
meanImax,Ingestion rate average,g/ gfish d,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
deltaImax,Ingestion rate standard deviation,g/ gfish d,,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
Nseed,Number of seeded individuals,-,,5629623,1203343,1565186,1582017,3105129,1884954,2171066,1245417,3063051,3155617,1607260,883574,6138729,1169683,10123220,3164031,2322534,4401034,9054520,2448760,4287431,6311234,4948009,5617000,1211757,2389854,3054637,2663340,10152674,4884897,3180863,4552506,4451526,5663283,3391237,5385589,1699826,1590431,2002766,2448760,1237003,1009797,4868066,4502014,8368697,5818960,3584783,1666166,3248183,1539940,2650720,5175214,3879306,5503397,1931237,3534291,1489451,3509046,891989,5957806,1110777,4224320,9290137,3786740,1043457,7093829,4274811,13939414,2659134,3164031,260866,1699826,14061431,4152791,1009797,2448760,1994351,4157000,833083,5705357,6210254,8919880,4687143,7834346,3029394,2070086,2221554,3711006,858329,4215906,1666166,3912966,8040514,5768469,1497866,2739077,765763,4392620,807837,3900343,302940,11069906,4333714,1438963,3214523,4556711,412334,11292903,1893371,2318326,5924146,757349,3719420,1506283,3593197,883574,4215906,4615617,12374229,950891,9365874,4039191,3803571,7977400,3231351,6740400,4022360,605880,4682937,1859711,3828817,5377171,11776766,2751697,2978903,5919940,3315503,5006914,14553709,1834466,2213140,1001383,6588929,3803571,3323917,454409,8646391,496483,984551,5402417,2827434,5894694,4830200,3912966,631123,3934003,2339366,1607260,555389,4611409,5141554,3382823,9197574,16426043,6841380,6243914,7598729,2600229,1565186,11713651,1800806,15449903,6647834,16409211,4358960,6109274,11953480,12630886,1691411,2474003,11675786,2819017,19602697,5082649,3500631,5940977,3496426,757349,1430546,16434457,3483803,1788183,14263391,5074234,1565186,2166857,2764320,2465589,4064434,1161269,6020917,2684380,555389,2903169,2221554,8002646,3256597,3971871,639537,4493600,3504840,1169683,2103746,1884954,1018211,1531526,6328066,4257980,4182246,6689909,8499131
mortmyt,natural mortality rate,1/d,,0.0000002,0.0000008,0.0000006,0.0000006,0.0000003,0.0000005,0.0000005,0.0000008,0.0000003,0.0000003,0.0000006,0.0000011,0.0000002,0.0000009,0.0000001,0.0000003,0.0000004,0.0000002,0.0000001,0.0000004,0.0000002,0.0000002,0.0000002,0.0000002,0.0000008,0.0000004,0.0000003,0.0000004,0.0000001,0.0000002,0.0000003,0.0000002,0.0000002,0.0000002,0.0000003,0.0000002,0.0000006,0.0000006,0.0000005,0.0000004,0.0000008,0.0000010,0.0000002,0.0000002,0.0000001,0.0000002,0.0000003,0.0000006,0.0000003,0.0000006,0.0000004,0.0000002,0.0000003,0.0000002,0.0000005,0.0000003,0.0000007,0.0000003,0.0000011,0.0000002,0.0000009,0.0000002,0.0000001,0.0000003,0.0000010,0.0000001,0.0000002,0.0000001,0.0000004,0.0000003,0.0000038,0.0000006,0.0000001,0.0000002,0.0000010,0.0000004,0.0000005,0.0000002,0.0000012,0.0000002,0.0000002,0.0000001,0.0000002,0.0000001,0.0000003,0.0000005,0.0000005,0.0000003,0.0000012,0.0000002,0.0000006,0.0000003,0.0000001,0.0000002,0.0000007,0.0000004,0.0000013,0.0000002,0.0000012,0.0000003,0.0000033,0.0000001,0.0000002,0.0000007,0.0000003,0.0000002,0.0000024,0.0000001,0.0000005,0.0000004,0.0000002,0.0000013,0.0000003,0.0000007,0.0000003,0.0000011,0.0000002,0.0000002,0.0000001,0.0000011,0.0000001,0.0000002,0.0000003,0.0000001,0.0000003,0.0000001,0.0000002,0.0000017,0.0000002,0.0000005,0.0000003,0.0000002,0.0000001,0.0000004,0.0000003,0.0000002,0.0000003,0.0000002,0.0000001,0.0000005,0.0000005,0.0000010,0.0000002,0.0000003,0.0000003,0.0000022,0.0000001,0.0000020,0.0000010,0.0000002,0.0000004,0.0000002,0.0000002,0.0000003,0.0000016,0.0000003,0.0000004,0.0000006,0.0000018,0.0000002,0.0000002,0.0000003,0.0000001,0.0000001,0.0000001,0.0000002,0.0000001,0.0000004,0.0000006,0.0000001,0.0000006,0.0000001,0.0000002,0.0000001,0.0000002,0.0000002,0.0000001,0.0000001,0.0000006,0.0000004,0.0000001,0.0000004,0.0000001,0.0000002,0.0000003,0.0000002,0.0000003,0.0000013,0.0000007,0.0000001,0.0000003,0.0000006,0.0000001,0.0000002,0.0000006,0.0000005,0.0000004,0.0000004,0.0000002,0.0000009,0.0000002,0.0000004,0.0000018,0.0000003,0.0000005,0.0000001,0.0000003,0.0000003,0.0000016,0.0000002,0.0000003,0.0000009,0.0000005,0.0000005,0.0000010,0.0000007,0.0000002,0.0000002,0.0000002,0.0000001,0.0000001
nruns,number of simulations,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
