"","x"
"1",3248183
"2",3248182.0255451
"3",3248181.05109049
"4",3248180.07663618
"5",3248179.10218215
"6",3248178.12772842
"7",3248177.15327499
"8",3248176.17882184
"9",3248175.20436899
"10",3248174.22991642
"11",3248173.25546416
"12",3248172.28101218
"13",3248171.30656049
"14",3248170.3321091
"15",3248169.357658
"16",3248168.3832072
"17",3248167.40875668
"18",3248166.43430646
"19",3248165.45985653
"20",3248164.48540689
"21",3248163.51095754
"22",3248162.53650849
"23",3248161.56205973
"24",3248160.58761126
"25",3248159.61316308
"26",3248158.6387152
"27",3248157.66426761
"28",3248156.68982031
"29",3248155.7153733
"30",3248154.74092659
"31",3248153.76648017
"32",3248152.79203404
"33",3248151.8175882
"34",3248150.84314265
"35",3248149.8686974
"36",3248148.89425244
"37",3248147.91980777
"38",3248146.9453634
"39",3248145.97091931
"40",3248144.99647552
"41",3248144.02203202
"42",3248143.04758881
"43",3248142.0731459
"44",3248141.09870328
"45",3248140.12426095
"46",3248139.14981891
"47",3248138.17537717
"48",3248137.20093571
"49",3248136.22649455
"50",3248135.25205369
"51",3248134.27761311
"52",3248133.30317283
"53",3248132.32873284
"54",3248131.35429314
"55",3248130.37985373
"56",3248129.40541462
"57",3248128.4309758
"58",3248127.45653727
"59",3248126.48209903
"60",3248125.50766108
"61",3248124.53322343
"62",3248123.55878607
"63",3248122.584349
"64",3248121.60991223
"65",3248120.63547575
"66",3248119.66103956
"67",3248118.68660366
"68",3248117.71216805
"69",3248116.73773274
"70",3248115.76329772
"71",3248114.78886299
"72",3248113.81442855
"73",3248112.83999441
"74",3248111.86556055
"75",3248110.89112699
"76",3248109.91669373
"77",3248108.94226075
"78",3248107.96782807
"79",3248106.99339568
"80",3248106.01896358
"81",3248105.04453178
"82",3248104.07010026
"83",3248103.09566904
"84",3248102.12123811
"85",3248101.14680748
"86",3248100.17237713
"87",3248099.19794708
"88",3248098.22351732
"89",3248097.24908785
"90",3248096.27465868
"91",3248095.3002298
"92",3248094.32580121
"93",3248093.35137291
"94",3248092.3769449
"95",3248091.40251719
"96",3248090.42808977
"97",3248089.45366264
"98",3248088.47923581
"99",3248087.50480926
"100",3248086.53038301
"101",3248085.55595705
"102",3248084.58153138
"103",3248083.60710601
"104",3248082.63268093
"105",3248081.65825614
"106",3248080.68383164
"107",3248079.70940744
"108",3248078.73498352
"109",3248077.7605599
"110",3248076.78613657
"111",3248075.81171354
"112",3248074.83729079
"113",3248073.86286834
"114",3248072.88844618
"115",3248071.91402432
"116",3248070.93960274
"117",3248069.96518146
"118",3248068.99076047
"119",3248068.01633978
"120",3248067.04191937
"121",3248066.06749926
"122",3248065.09307944
"123",3248064.11865991
"124",3248063.14424067
"125",3248062.16982173
"126",3248061.19540308
"127",3248060.22098472
"128",3248059.24656665
"129",3248058.27214888
"130",3248057.2977314
"131",3248056.32331421
"132",3248055.34889731
"133",3248054.37448071
"134",3248053.4000644
"135",3248052.42564838
"136",3248051.45123265
"137",3248050.47681721
"138",3248049.50240207
"139",3248048.52798722
"140",3248047.55357266
"141",3248046.57915839
"142",3248045.60474442
"143",3248044.63033074
"144",3248043.65591735
"145",3248042.68150425
"146",3248041.70709145
"147",3248040.73267894
"148",3248039.75826672
"149",3248038.78385479
"150",3248037.80944315
"151",3248036.83503181
"152",3248035.86062076
"153",3248034.88621
"154",3248033.91179954
"155",3248032.93738936
"156",3248031.96297948
"157",3248030.98856989
"158",3248030.0141606
"159",3248029.03975159
"160",3248028.06534288
"161",3248027.09093446
"162",3248026.11652633
"163",3248025.1421185
"164",3248024.16771096
"165",3248023.19330371
"166",3248022.21889675
"167",3248021.24449008
"168",3248020.27008371
"169",3248019.29567763
"170",3248018.32127184
"171",3248017.34686634
"172",3248016.37246114
"173",3248015.39805623
"174",3248014.42365161
"175",3248013.44924728
"176",3248012.47484325
"177",3248011.5004395
"178",3248010.52603605
"179",3248009.5516329
"180",3248008.57723003
"181",3248007.60282746
"182",3248006.62842518
"183",3248005.65402319
"184",3248004.67962149
"185",3248003.70522009
"186",3248002.73081898
"187",3248001.75641816
"188",3248000.78201763
"189",3247999.8076174
"190",3247998.83321745
"191",3247997.8588178
"192",3247996.88441845
"193",3247995.91001938
"194",3247994.93562061
"195",3247993.96122213
"196",3247992.98682394
"197",3247992.01242604
"198",3247991.03802844
"199",3247991.03802844
"200",3247990.06363113
"201",3247989.08923411
"202",3247988.11483738
"203",3247987.14044095
"204",3247986.1660448
"205",3247985.19164895
"206",3247984.2172534
"207",3247983.24285813
"208",3247982.26846316
"209",3247981.29406848
"210",3247980.31967409
"211",3247979.34527999
"212",3247978.37088619
"213",3247977.39649268
"214",3247976.42209946
"215",3247975.44770653
"216",3247974.4733139
"217",3247973.49892156
"218",3247972.52452951
"219",3247971.55013775
"220",3247970.57574629
"221",3247969.60135511
"222",3247968.62696423
"223",3247967.65257364
"224",3247966.67818335
"225",3247965.70379335
"226",3247964.72940363
"227",3247963.75501422
"228",3247962.78062509
"229",3247961.80623625
"230",3247960.83184771
"231",3247959.85745946
"232",3247958.88307151
"233",3247957.90868384
"234",3247956.93429647
"235",3247955.95990939
"236",3247954.9855226
"237",3247954.01113611
"238",3247953.0367499
"239",3247952.06236399
"240",3247951.08797837
"241",3247950.11359305
"242",3247949.13920801
"243",3247948.16482327
"244",3247947.19043882
"245",3247946.21605466
"246",3247945.2416708
"247",3247944.26728723
"248",3247943.29290395
"249",3247942.31852096
"250",3247941.34413826
"251",3247940.36975586
"252",3247939.39537375
"253",3247938.42099193
"254",3247937.4466104
"255",3247936.47222917
"256",3247935.49784823
"257",3247934.52346758
"258",3247933.54908722
"259",3247932.57470716
"260",3247931.60032738
"261",3247930.6259479
"262",3247929.65156872
"263",3247928.67718982
"264",3247927.70281122
"265",3247926.72843291
"266",3247925.75405489
"267",3247924.77967716
"268",3247923.80529973
"269",3247922.83092259
"270",3247921.85654574
"271",3247920.88216918
"272",3247919.90779292
"273",3247918.93341694
"274",3247917.95904126
"275",3247916.98466587
"276",3247916.01029078
"277",3247915.03591598
"278",3247914.06154147
"279",3247913.08716725
"280",3247912.11279332
"281",3247911.13841969
"282",3247910.16404635
"283",3247909.1896733
"284",3247908.21530054
"285",3247907.24092807
"286",3247906.2665559
"287",3247905.29218402
"288",3247904.31781243
"289",3247903.34344114
"290",3247902.36907014
"291",3247901.39469943
"292",3247900.42032901
"293",3247899.44595888
"294",3247898.47158905
"295",3247897.49721951
"296",3247896.52285026
"297",3247895.5484813
"298",3247894.57411264
"299",3247893.59974426
"300",3247892.62537618
"301",3247891.6510084
"302",3247890.6766409
"303",3247889.7022737
"304",3247888.72790679
"305",3247887.75354017
"306",3247886.77917384
"307",3247885.80480781
"308",3247884.83044207
"309",3247883.85607662
"310",3247882.88171146
"311",3247881.9073466
"312",3247880.93298202
"313",3247879.95861774
"314",3247878.98425376
"315",3247878.00989006
"316",3247877.03552666
"317",3247876.06116355
"318",3247875.08680073
"319",3247874.1124382
"320",3247873.13807597
"321",3247872.16371403
"322",3247871.18935238
"323",3247870.21499102
"324",3247869.24062996
"325",3247868.26626919
"326",3247867.29190871
"327",3247866.31754852
"328",3247865.34318862
"329",3247864.36882902
"330",3247863.39446971
"331",3247862.42011069
"332",3247861.44575197
"333",3247860.47139353
"334",3247859.49703539
"335",3247858.52267754
"336",3247857.54831998
"337",3247856.57396272
"338",3247855.59960575
"339",3247854.62524907
"340",3247853.65089268
"341",3247852.67653658
"342",3247851.70218078
"343",3247850.72782527
"344",3247849.75347005
"345",3247848.77911513
"346",3247847.80476049
"347",3247846.83040615
"348",3247845.8560521
"349",3247844.88169835
"350",3247843.90734488
"351",3247842.93299171
"352",3247841.95863883
"353",3247840.98428624
"354",3247840.00993395
"355",3247839.03558194
"356",3247838.06123023
"357",3247837.08687881
"358",3247836.11252769
"359",3247835.13817685
"360",3247834.16382631
"361",3247833.18947606
"362",3247832.21512611
"363",3247831.24077644
"364",3247830.26642707
"365",3247829.29207799
"366",3247828.3177292
"367",3247827.34338071
"368",3247826.3690325
"369",3247825.39468459
"370",3247824.42033697
"371",3247823.44598965
"372",3247822.47164261
"373",3247821.49729587
"374",3247820.52294942
"375",3247819.54860327
"376",3247818.5742574
"377",3247817.59991183
"378",3247816.62556655
"379",3247815.65122156
"380",3247814.67687687
"381",3247813.70253246
"382",3247812.72818835
"383",3247811.75384453
"384",3247810.77950101
"385",3247809.80515778
"386",3247808.83081483
"387",3247807.85647218
"388",3247806.88212983
"389",3247805.90778776
"390",3247804.93344599
"391",3247803.95910451
"392",3247802.98476332
"393",3247802.01042243
"394",3247801.03608182
"395",3247800.06174151
"396",3247799.08740149
"397",3247798.11306177
"398",3247797.13872233
"399",3247796.16438319
"400",3247795.19004434
"401",3247794.21570579
"402",3247793.24136752
"403",3247792.26702955
"404",3247791.29269187
"405",3247790.31835448
"406",3247789.34401739
"407",3247788.36968058
"408",3247787.39534407
"409",3247786.42100785
"410",3247785.44667193
"411",3247784.47233629
"412",3247783.49800095
"413",3247782.5236659
"414",3247781.54933114
"415",3247780.57499668
"416",3247779.60066251
"417",3247778.62632863
"418",3247777.65199504
"419",3247776.67766174
"420",3247775.70332874
"421",3247774.72899603
"422",3247773.75466361
"423",3247772.78033148
"424",3247771.80599965
"425",3247770.83166811
"426",3247769.85733686
"427",3247768.8830059
"428",3247767.90867524
"429",3247766.93434486
"430",3247765.96001478
"431",3247764.985685
"432",3247764.0113555
"433",3247763.0370263
"434",3247762.06269739
"435",3247761.08836877
"436",3247760.11404044
"437",3247759.13971241
"438",3247758.16538466
"439",3247757.19105721
"440",3247756.21673006
"441",3247755.24240319
"442",3247754.26807662
"443",3247753.29375034
"444",3247752.31942435
"445",3247751.34509865
"446",3247750.37077325
"447",3247749.39644814
"448",3247748.42212332
"449",3247747.44779879
"450",3247746.47347456
"451",3247745.49915062
"452",3247744.52482697
"453",3247743.55050361
"454",3247742.57618055
"455",3247741.60185777
"456",3247740.62753529
"457",3247739.6532131
"458",3247738.67889121
"459",3247737.7045696
"460",3247736.73024829
"461",3247735.75592727
"462",3247734.78160655
"463",3247733.80728611
"464",3247732.83296597
"465",3247731.85864612
"466",3247730.88432656
"467",3247729.9100073
"468",3247728.93568832
"469",3247727.96136964
"470",3247726.98705126
"471",3247726.01273316
"472",3247725.03841536
"473",3247724.06409784
"474",3247723.08978062
"475",3247722.1154637
"476",3247721.14114706
"477",3247720.16683072
"478",3247719.19251467
"479",3247718.21819891
"480",3247717.24388345
"481",3247716.26956827
"482",3247715.29525339
"483",3247714.32093881
"484",3247713.34662451
"485",3247712.3723105
"486",3247711.39799679
"487",3247710.42368337
"488",3247709.44937025
"489",3247708.47505741
"490",3247707.50074487
"491",3247706.52643262
"492",3247705.55212066
"493",3247704.577809
"494",3247703.60349762
"495",3247702.62918654
"496",3247701.65487575
"497",3247700.68056526
"498",3247699.70625505
"499",3247698.73194514
"500",3247697.75763552
"501",3247696.78332619
"502",3247695.80901716
"503",3247694.83470842
"504",3247693.86039997
"505",3247692.88609181
"506",3247691.91178394
"507",3247690.93747637
"508",3247689.96316909
"509",3247688.9888621
"510",3247688.0145554
"511",3247687.040249
"512",3247686.06594288
"513",3247685.09163706
"514",3247684.11733154
"515",3247683.1430263
"516",3247682.16872136
"517",3247681.19441671
"518",3247680.22011235
"519",3247679.24580828
"520",3247678.27150451
"521",3247677.29720103
"522",3247676.32289784
"523",3247675.34859494
"524",3247674.37429234
"525",3247673.39999003
"526",3247672.42568801
"527",3247671.45138628
"528",3247670.47708484
"529",3247669.5027837
"530",3247668.52848285
"531",3247667.55418229
"532",3247666.57988202
"533",3247665.60558205
"534",3247664.63128237
"535",3247663.65698298
"536",3247662.68268388
"537",3247661.70838508
"538",3247660.73408656
"539",3247659.75978834
"540",3247658.78549042
"541",3247657.81119278
"542",3247656.83689544
"543",3247655.86259839
"544",3247654.88830163
"545",3247653.91400516
"546",3247652.93970899
"547",3247651.9654131
"548",3247650.99111752
"549",3247650.01682222
"550",3247649.04252721
"551",3247648.0682325
"552",3247647.09393808
"553",3247646.11964395
"554",3247645.14535012
"555",3247644.17105657
"556",3247643.19676332
"557",3247642.22247036
"558",3247641.24817769
"559",3247640.27388532
"560",3247639.29959324
"561",3247638.32530145
"562",3247637.35100995
"563",3247636.37671875
"564",3247635.40242783
"565",3247634.42813721
"566",3247633.45384688
"567",3247632.47955685
"568",3247631.5052671
"569",3247630.53097765
"570",3247629.55668849
"571",3247628.58239963
"572",3247627.60811105
"573",3247626.63382277
"574",3247625.65953478
"575",3247624.68524708
"576",3247623.71095967
"577",3247622.73667256
"578",3247621.76238574
"579",3247620.78809921
"580",3247619.81381297
"581",3247618.83952703
"582",3247617.86524138
"583",3247616.89095602
"584",3247615.91667095
"585",3247614.94238618
"586",3247613.96810169
"587",3247612.9938175
"588",3247612.01953361
"589",3247611.04525
"590",3247610.07096669
"591",3247609.09668367
"592",3247608.12240094
"593",3247607.1481185
"594",3247606.17383636
"595",3247605.1995545
"596",3247604.22527294
"597",3247603.25099168
"598",3247602.2767107
"599",3247601.30243002
"600",3247600.32814963
"601",3247599.35386953
"602",3247598.37958972
"603",3247597.40531021
"604",3247596.43103099
"605",3247595.45675206
"606",3247594.48247342
"607",3247593.50819508
"608",3247592.53391702
"609",3247591.55963926
"610",3247590.58536179
"611",3247589.61108462
"612",3247588.63680774
"613",3247587.66253114
"614",3247586.68825485
"615",3247585.71397884
"616",3247584.73970312
"617",3247583.7654277
"618",3247582.79115257
"619",3247581.81687774
"620",3247580.84260319
"621",3247579.86832894
"622",3247578.89405498
"623",3247577.91978131
"624",3247576.94550793
