"day","faeces_c1","faeces_c2","faeces_l1","faeces_l2","faeces_p1","faeces_p2","feed_c1","feed_c2","feed_l1","feed_l2","feed_p1","feed_p2","nh4_1","nh4_2","weight_1","weight_2"
1,2.58265495935584,0.483668874460318,0.570902675226029,0.106916277512281,4.20474351277583,0.787446869296798,3.68174064143488,3.23988719734184,3.33109867558394,2.93132651188071,7.71412324872071,6.7883350801448,318.531811436603,115.030472030926,2.41672223625668,0.905416720454591
2,2.71646591859388,0.500785880792667,0.600481939899701,0.1107000368068,4.42259714465811,0.815314556799289,3.84914097931116,3.35454656990303,3.48255612413867,3.03506594419798,8.06486681379482,7.02857376551112,337.60373736083,117.753391676416,2.54253029331488,0.918176613110899
3,2.86470618493446,0.517309569737529,0.633250840880249,0.114352641731454,4.66394270108627,0.842216281958644,3.98387120014561,3.46523156761981,3.60445489536984,3.13520951356078,8.347158705067,7.26048518929865,358.748741708577,120.917938979004,2.67246618587321,0.932134104874451
4,2.96504678914619,0.491193774098071,0.655431395495474,0.108579676379574,4.82730424618888,0.799697933970193,3.51992083500842,3.29029322362344,3.18469027929333,2.97693196423073,7.37507222573193,6.8939477066396,381.223082897984,124.119078641608,2.80851418429353,0.946622823374079
5,3.05163397169513,0.525412260068507,0.674571720058925,0.116143762751986,4.96827425567208,0.855408030427324,4.01447006541575,3.51950796218139,3.6321395829952,3.18431672768792,8.41127061325204,7.37420715885623,395.481088989551,124.492285169843,2.94980434374295,0.960400914171206
6,3.23508141662117,0.569094690610008,0.715123260516258,0.125799878976949,5.26693956951656,0.926526092782608,4.56334508999804,3.81211754475603,4.12874079571252,3.44905873096974,9.56129447428162,7.98729390329834,418.753751248581,127.735232316183,3.09474808232511,0.974186305034223
7,3.39827971008484,0.537499700258082,0.751198672755596,0.118815723214945,5.53263784378724,0.875087231297369,3.89343324745735,3.60047646105892,3.52263008103284,3.25757394095807,8.15766966133921,7.5438554422187,450.185387558638,132.993676506842,3.24530002232432,0.989935376223607
8,3.384746276027,0.486345429407038,0.748207071542811,0.107507937026819,5.51060446342641,0.791804488578475,3.32566995104428,3.25781627353997,3.00893947951626,2.94754805701235,6.9680703736166,6.82590076360754,468.088967101181,133.73497102125,3.40332179248766,1.00540863836864
9,3.38998358024389,0.521096565335301,0.749364791422333,0.115189767074119,5.51913116222162,0.848381776545892,3.78862174020024,3.49059900224603,3.42780062208593,3.15816100203213,7.93806459851479,7.31363600470597,474.719676050906,131.430384738068,3.56395086427543,1.01823563265487
10,3.56245198129789,0.603438653649472,0.787489385339534,0.133391702385673,5.79992182218323,0.982440474713526,4.9945413514891,4.04217279956584,4.51887074658538,3.65720396151195,10.4647533078819,8.46931443718556,493.804194089799,133.010450254205,3.72337898363273,1.03085074630867
11,3.86279744627256,0.627972676447128,0.853881540754988,0.138815012688313,6.28890531603673,1.02238358551392,5.01027643433691,4.20651553600947,4.53310725011435,3.80589500877047,10.4977220528964,8.81365159925793,534.019710588173,140.102703907491,3.88612355035121,1.04676114411796
12,4.10924830381253,0.637517332698517,0.908360151369086,0.140924884070199,6.69014460690881,1.03792295569162,4.8734796739361,4.27045103243026,4.40933875260885,3.86374141029405,10.2111002691994,8.94761168699674,572.997088011374,146.224053601469,4.05897987637206,1.06489338223018
13,4.3372977787652,0.674998467665735,0.958771087937572,0.149210187589268,7.0614251556037,1.09894487367334,5.2489506140091,4.52152083603842,4.74905055553204,4.09089980403475,10.9978012864953,9.47366270408049,607.797697982811,150.841727250449,4.24370064955855,1.08295683212499
14,4.57540803122807,0.687216500547399,1.01140598585042,0.151911015910478,7.44908535610465,1.1188366886105,5.21079630382157,4.60336411849932,4.71452998917189,4.16494848816605,10.9178589222928,9.64514386733191,649.29419230987,156.733377695488,4.43840734413011,1.10151294131522
15,4.67840706826025,0.632536755700113,1.03417419403648,0.13982391441792,7.61677501639563,1.02981422682404,4.48202595044595,4.23708831569454,4.05516633611776,3.8335560951522,9.39091151522008,8.87770885193141,687.694586682639,161.291135668433,4.64278413972774,1.12072346980626
16,4.80235256202713,0.708164746903187,1.061572671606,0.156541680894389,7.8185669781775,1.1529419037301,5.39716514197551,4.74368729982996,4.88314941416832,4.29190755698901,11.3083460117582,9.93915434250087,704.663954870289,160.768390383181,4.85385889896607,1.13841875354162
17,4.99609785814173,0.700799336278117,1.10440057916817,0.154913537493058,8.1339979164132,1.14095049836157,5.17225669652007,4.69434962100174,4.67966082066101,4.24726870471586,10.8371092688992,9.83578015828937,747.249761424411,166.119193439175,5.06891072209111,1.15646701119634
18,5.0510745653148,0.651448544211124,1.11655332496432,0.144004415036143,8.22350385370549,1.06060394566302,4.61233220090605,4.36377015261039,4.17306246748643,3.94817299521893,9.66393413523173,9.14313746261226,781.018383089147,169.06713671729,5.28987571846625,1.175978813389
19,5.03625701129205,0.644134110082382,1.11327786565403,0.142387540123474,8.19937983592811,1.04869553360781,4.56754593295393,4.31477394313557,4.13254155838689,3.90384309140837,9.5700962404749,9.04047873799834,796.379276310999,167.938550458751,5.5151930078385,1.19387444709101
20,5.16122968909121,0.72819507013143,1.140903404957,0.160969436555369,8.40284412539761,1.1855526755824,5.53876686110151,4.87786171379906,5.01126525528232,4.413303455342,11.6050353280222,10.2202816860552,813.195312632118,167.509335435199,5.74001281930766,1.21044012716465
21,5.40894732941521,0.755037561981543,1.19566204123915,0.166903040016973,8.80614582753915,1.22925413599802,5.73740666399203,5.0576678793022,5.19098698170707,4.57598522413056,12.021233010269,10.597018413776,858.556767687419,173.094210728376,5.9662847828539,1.22898937496104
22,5.75980537328327,0.856387734926898,1.27322013514683,0.189306762457525,9.37736734457346,1.3942593298459,6.93820237546616,5.73656855931893,6.27742119685033,5.19022869652665,14.5371859295481,12.0194769814301,906.976918121991,179.17540072478,6.19960935952147,1.24990743687355
23,6.09817568648656,0.806570251309498,1.34801778332861,0.178294476605258,9.92825795975356,1.31315297055301,5.94503856147182,5.40286292743204,5.37884441276022,4.8883045533909,12.4562712716553,11.3202842289052,987.225942581999,190.98815735432,6.4451546272173,1.27325529458458
24,6.31222287682933,0.848198553047434,1.39533347803596,0.187496522252591,10.2767418064871,1.3809267670667,6.37096972350989,5.68171279553305,5.76421070222324,5.14059729119657,13.3486984683064,11.9045410954026,1030.92796071555,195.135251408419,6.70473473932031,1.29709408776596
25,6.60361592471761,0.899830409415255,1.45974667809547,0.198909879976004,10.7511501370841,1.46498705252168,6.87397640364035,6.02757212048496,6.21931198424603,5.45351763281972,14.402617226675,12.6291987286352,1087.76914435001,201.685073133456,6.97482458573312,1.32020296366973
26,6.82904084899422,0.861515001122523,1.5095774508303,0.190440158142874,11.1181577330994,1.40260687902053,6.22922638463507,5.77091388311738,5.63596672895554,5.2213030371062,13.0517124249497,12.0914386122459,1160.99793714687,210.800369563635,7.25454423288487,1.34507702462323
27,6.94998878263421,0.869803530911385,1.53631330984546,0.192272359464622,11.3150694566395,1.41610118716801,6.27936591388712,5.82643513529157,5.68133106494549,5.27153655097809,13.1567666767159,12.2077688548966,1198.98638240004,213.113011887841,7.54396714107599,1.36974494995469
28,7.08018767728634,0.884626960502447,1.56509411813698,0.195549117584751,11.5270423938978,1.44023477078293,6.39857139607155,5.92573083590156,5.78918364406474,5.36137551819665,13.4065305441499,12.415816989508,1237.57238237279,215.541760637765,7.83913928771747,1.39336243408341
29,7.25246149998902,0.917660279574961,1.60317569999757,0.202851219695518,11.8075162666488,1.49401533236064,6.71886360456258,6.14700665743992,6.07897183269947,5.56157745196946,14.0776189809883,12.8794425203503,1280.00524894896,218.691661796825,8.13819256165,1.41738808827006
30,7.46588917629736,0.943753621662589,1.65035444949731,0.208619221630678,12.1549915010596,1.53649712439102,6.92202673809099,6.32179459486901,6.26278609636804,5.71971891916721,14.5032941179049,13.2456648654398,1334.80500474436,223.939313688399,8.44223877469436,1.44237473122825
31,7.65994971335808,0.946479387625761,1.69325204190021,0.209221759369905,12.4709356736777,1.54093486266089,6.83804168202984,6.34005331423954,6.18679961707462,5.7362387128834,14.3273254290149,13.2839212298352,1394.97269034584,229.897591736751,8.75298934135074,1.46848297605789
32,7.7978490981149,0.943168575820283,1.72373506379382,0.208489895707642,12.6954455492116,1.5355446287039,6.73604701640137,6.31787562750428,6.09451872912505,5.71617318678959,14.1136223200791,13.2374536957233,1445.37872188768,234.025459503611,9.07078557453439,1.49490507819828
33,8.0575598302943,1.04535123619377,1.78114480459137,0.231077641684939,13.1182728465142,1.70190517050495,7.88896307312899,7.00235277833148,7.13763325664051,6.33546203753801,16.5292559627465,14.6715962974564,1486.49766379854,236.824646576489,9.39393921594102,1.52099993466656
34,8.22060651303151,0.94514002680112,1.81718670288065,0.208925690134984,13.3837242878829,1.53875428924814,6.63060631657408,6.33108151924194,5.99912000070988,5.72812137455223,13.8926989490124,13.2651231831736,1587.3064012952,248.801581535641,9.72409759975072,1.54921600848769
35,8.18171207168909,0.926893388167726,1.80858898426812,0.204892222647603,13.3204014079429,1.5090474810871,6.48599108047706,6.20885523174552,5.86827764424115,5.617535685865,13.58969559719,13.0090300093716,1598.53672161764,246.257290946182,10.0615773822936,1.57709712719309
36,8.51048829532833,1.16121450113507,1.88126583370416,0.256689521303541,13.8556721720433,1.89053869658481,9.20076470558211,7.77847034253155,8.32450140028858,7.03766364324283,19.2777927164578,16.2977473843518,1610.2120111573,244.630235359683,10.3994492151019,1.60205277514791
37,8.98768872261886,1.10407887400484,1.98675224394733,0.244059540569492,14.6325879554216,1.79751788609911,8.00811014173859,7.39574365362095,7.24543298538253,6.69138711518086,16.7788974398332,15.495843845682,1775.26815342437,266.322907237664,10.7429080772123,1.63210814052184
38,9.17363728710317,1.0788549875738,2.02785666346491,0.238483734095262,14.9353252674241,1.75645162889208,7.63930432747025,7.22677982106853,6.91175153437785,6.53851507620486,16.0061614480329,15.1418243870007,1864.60360949693,275.73284238598,11.1012167064621,1.66538688898205
39,9.31039452515472,1.0977247747017,2.05808721082368,0.242654950197217,15.1579756479712,1.78717296653189,7.78371471927524,7.35318030900659,7.04240855553474,6.65287742243452,16.308735602291,15.4066635045852,1906.16977696431,277.881643310394,11.4704694867607,1.69622387245056
40,9.51367419745271,1.14471288714269,2.10302271733165,0.253041796105227,15.4889292197125,1.86367291099723,8.2031392931644,7.6679332153099,7.42188793191065,6.93765386147087,17.1875299475826,16.0661457844589,1957.39171494387,281.590696768517,11.8444341630261,1.72668293720674
41,9.79421997802775,1.19175485925181,2.16503810040613,0.26344054783461,15.9456774379118,1.94026054278189,8.60916233399137,7.98304690407908,7.78924211170648,7.22275672273821,18.0382448902676,16.726383989499,2040.38165739609,289.960448590395,12.2237843535379,1.75851564455995
42,10.0596398819973,1.1960550958032,2.22370986865204,0.264391126440709,16.3777996675325,1.94726162965855,8.51766539966457,8.0118523163851,7.70645917112509,7.24881876244366,17.8465370278686,16.7867381867116,2156.91022612385,302.878338663751,12.6112916046834,1.79220184505335
43,10.2404994026824,1.18987850363964,2.26368934164558,0.263025774488763,16.672251659104,1.93720570417121,8.39719340168178,7.970478014811,7.59746069675971,7.21138487054329,17.5941195082856,16.7000491738897,2248.49889817782,311.944966067708,13.007835829713,1.82659048948664
44,10.4040442362416,1.21130612238055,2.29984135748499,0.267762405999911,16.9385141249688,1.97209137117395,8.55390765817566,8.11401230302761,7.73924978596845,7.34124922654879,17.9224731885585,17.000787682534,2296.39300601158,314.849901920078,13.4110512767302,1.86057904624378
45,10.6211392076776,1.25395151088968,2.34783077222346,0.277189281354561,17.2919599732014,2.04152105632565,8.89922769291333,8.39967519256243,8.05168219835016,7.5997061266041,18.6460008803898,17.5993194510832,2358.13692324074,319.770432614889,13.8192784137951,1.89470985227678
46,10.8467087419877,1.26699721926798,2.39769351138675,0.280073069522396,17.6592030044992,2.06276038505384,8.95657031298041,8.48706271279987,8.10356361650608,7.67877102586655,18.7661473224351,17.7824171125331,2462.11071221761,330.382660567413,14.233496796167,1.93010481421833
47,11.0539547295658,1.28410419954268,2.44350578232508,0.283854612530487,17.9966140158545,2.09061174943089,9.06476471786861,8.60165492516626,8.20145379235731,7.78244969419805,18.9928403612485,18.0225150813007,2553.64998302951,339.173606706557,14.6546119760866,1.96645490806614
48,11.2695983068686,1.31061608144636,2.49117436257094,0.289715133793405,18.347696892586,2.13377495365302,9.25320770292064,8.77924647858803,8.371949826452,7.94312776634156,19.3876732823099,18.3946116694226,2641.4985351666,347.407278449689,15.0821285198385,2.00319541083574
49,11.4725500250841,1.32141974402592,2.53603737396596,0.292103311837309,18.6781165320667,2.15136407448431,9.30475608641248,8.85161551022148,8.41858884008748,8.00860450924802,19.49567941915,18.5462420214164,2811.77053296362,366.279637394522,15.5159437054207,2.04064159170121
50,11.6123296022433,1.31047317514052,2.56693601733799,0.289683543978431,18.9056874927751,2.1335422921586,9.1849967595543,8.77828921146761,8.31023516340627,7.94226166751831,19.2447551152566,18.3926059668845,2876.99269497943,371.249031001939,15.9555156415024,2.078469923167
51,11.7297974679486,1.32315013381176,2.59290259817811,0.292485819053127,19.0969334215022,2.15418127048652,9.27223568061154,8.86320663797354,8.3891656157914,8.0190917200713,19.4275414260432,18.5705281938493,2833.23864117906,362.198202828994,16.3991098186047,2.11615192491647
52,11.9898733109678,1.41374000653975,2.65039304768763,0.31251094881405,19.5203551448739,2.30166794047173,10.020602377432,9.47002875194091,9.06625929386704,8.56812125175606,20.9955478384289,19.8419650040666,2867.18448041514,363.524926262867,16.8468440295384,2.15368255329874
53,12.218783208185,1.38650515551063,2.70099418286195,0.306490613323402,19.8930365213959,2.2573276917787,9.72011205040165,9.28759434313337,8.79438709322054,8.40306154854925,20.3659490579844,19.4597214808509,3112.03241021139,391.433685692925,17.301121421667,2.19357663660546
54,12.3887873453543,1.40369583730659,2.73857404476252,0.310290658773037,20.1698151868224,2.28531532810618,9.83605330999344,9.40274723554657,8.8992863280893,8.50724749882784,20.608873601891,19.7009942078119,3123.52829999038,389.741597278285,17.7626175363403,2.23419487116819
55,12.5836321788491,1.43353528004728,2.78164500795612,0.316886746115714,20.4870362490736,2.33389603488399,10.0520425034759,9.60262867017316,9.09470512219244,8.68809260634715,21.0614223882351,20.1197934041723,3180.82527818967,393.894657289568,18.2288746361343,2.27452740456825
56,12.7958779661622,1.45706716117731,2.82856249778323,0.32208853036551,20.8325872852606,2.37220758872375,10.2134216293306,9.76025849592454,9.24071480748956,8.83071006774125,21.3995500805021,20.4500654200324,3281.7001871163,403.481030452791,18.7008586458691,2.31580412726336
57,12.9921235563777,1.46798787128743,2.87194310193613,0.324502582074064,21.1520888777518,2.38998727114866,10.2716126712671,9.83341157800194,9.29336384543215,8.8968961896208,21.5214741683692,20.603338544385,3413.48982034122,416.76959400128,19.1788197661966,2.35801246942463
58,13.1725764377365,1.48287986230306,2.91183268623649,0.327794495877518,21.445878831964,2.4142324775741,10.3654296860048,9.93316654174296,9.37824590638531,8.98715068062458,21.7180431516291,20.8123489446043,3483.21438618399,422.403950039513,19.6622564148738,2.40066063016906
59,13.3648451739691,1.50856575194315,2.95433419635106,0.333472429376908,21.7589058270935,2.45605090842675,10.5450655604496,10.1052251326336,9.54077360231152,9.14282273904942,22.0944230790372,21.1728526588513,3678.51203429285,443.176509495151,20.1506759050132,2.44364088871618
60,13.513270079724,1.50048468066588,2.98714391236004,0.331686087305089,22.0005519894454,2.44289435729462,10.4547642895511,10.0510935546997,9.45907245245098,9.09384654949017,21.9052204162023,21.0594341146088,3752.23113271864,449.185837295681,20.6436854627607,2.48709162324674
61,13.695548699634,1.54430267388219,3.02743708097174,0.341372170016064,22.297314374141,2.51423312519768,10.7825285447086,10.344611212608,9.75562106426016,9.35941014474056,22.5919645698656,21.6744234930834,3919.72735763377,466.375095060764,21.1403243225335,2.5307434285476
62,13.8156469698531,1.51649120420302,3.05398511965173,0.335224371455405,22.4928427860064,2.4689541008779,10.5358521679535,10.1583142865274,9.53243767576744,9.19085578304862,22.075118828093,21.2840870765337,3992.13038281601,472.166714170071,21.6407924714884,2.57485425011125
63,13.9370257588533,1.54718351399783,3.0808162203781,0.342008987304784,22.6904559723085,2.51892333507015,10.7593094587452,10.3639087062056,9.73461331981709,9.37686978180505,22.5433150564185,21.7148563368117,4165.22139587038,489.740630907843,22.144387983228,2.6191135831522
64,13.5944914280919,1.31896511603858,3.00509810515716,0.291560709861161,22.1327860443321,2.14736776786632,9.03710398605867,8.83517302609578,8.17642741595785,7.99372797599141,18.9348845422182,18.5117911022959,4281.68836033458,499.929936419342,22.6499669041062,2.66314993307595
65,13.7185801228058,1.60067124345799,3.03252823767286,0.353832590659134,22.3348111473049,2.60600511215616,11.2581167404163,10.7221997169435,10.1859151460909,9.70103783913933,23.5884350751579,22.4655613116911,4621.97032545449,536.327133066215,23.1479239116031,2.70275161466054
66,14.2558502720761,1.71720748686978,3.15129321803787,0.379593233939636,23.2095246534852,2.79573429441256,12.2926976088293,11.5028252708981,11.1219645032265,10.4073181022411,25.7561283232614,24.1011577104531,4650.56354741212,537.907756202809,23.6377870994152,2.74289657751368
67,14.0177553375838,1.33565439550475,3.09866170620273,0.295249919006312,22.8218893917153,2.17453908601474,9.12684604908028,8.94696724261552,8.25762261583454,8.09487512427118,19.1229155314063,18.7460266035754,4577.78649448935,526.58413340426,24.1363417880601,2.79173165183049
68,13.9717630042673,1.55885566250058,3.08849497989067,0.344589146447497,22.747010645544,2.53792641193077,10.8210830822773,10.4420953468938,9.79050374110805,9.4476100757611,22.6727455057239,21.8786759649204,4943.78742647538,565.129705272428,24.6410427612939,2.8344664313753
69,14.3621629182761,1.69139218542958,3.17479390825051,0.373886693621275,23.3826091020355,2.7537051720678,11.9351046091585,11.3298998067053,10.7984279797148,10.2508617298762,25.0068858477606,23.7388376902397,5035.08419584473,573.633416358447,25.1367527451589,2.87340948243505
70,14.8647964422692,1.74374565464519,3.28590237144899,0.385459565763675,24.2009317516243,2.83894029387849,12.2703596759326,11.6805929019295,11.1017539925104,10.5681554826981,25.7093250352873,24.4736232230904,5040.45905473676,572.67853200527,25.6342728425334,2.92044282370933
71,14.6882403186815,1.44624144456681,3.24687417570854,0.319695477220033,23.9134859925201,2.35458256238246,9.88380500409551,9.68774173394037,8.9424902418007,8.7650996640413,20.7089247704858,20.2981255377798,5024.67578615486,568.22229978859,26.1479070367337,2.97082961178602
72,14.6414862221998,1.60888602545174,3.23653905964416,0.3556484898367,23.8373670424585,2.61937935371792,11.1123279361832,10.7772269647485,10.0540109898801,9.7508243966772,23.2829728186696,22.5808564975683,5333.34768625794,599.961377220961,26.6674960834634,3.01573008867597
73,15.0431017038491,1.7747474405556,3.32531721874559,0.392312592122816,24.4912252301262,2.88941337690455,12.5203535601783,11.888260367358,11.3279389353994,10.7560450942763,26.2331217451355,24.9087360077978,5444.66154050709,610.709406062077,27.1794977497427,3.0574884409141
74,15.4976238304634,1.77689832142036,3.42579053094454,0.392788049998185,25.2312191485439,2.89291516189139,12.3750994907088,11.9026681817632,11.1965185868318,10.769080735881,25.9287798852947,24.9389238094086,5435.94699483467,608.27699008023,27.6941889655481,3.10636420072966
75,15.5821257830193,1.65492713036651,3.44446990993059,0.365825997238914,25.3687942572666,2.6943375034739,11.3633231081578,11.0856362799671,10.2811018597618,10.0298613961607,23.8088674647116,23.2270474437405,5463.24484355265,609.201927180778,28.2240865433875,3.15824683844215
76,15.4981740827101,1.63506787529798,3.4259121656517,0.361436056644816,25.2321149978156,2.66200524259039,11.2125124493388,10.9526077771156,10.1446541208304,9.90950227453319,23.4928832271861,22.9483210568137,5648.30526523418,627.161239911101,28.7635126998581,3.20739558102022
77,15.6654685282384,1.76087955648691,3.46289304308427,0.389247059855001,25.5044820950968,2.86683548845588,12.1796544092615,11.7953654501515,11.0196873226652,10.6719973120419,25.5192759051193,24.7140990384128,5832.3551074165,645.378451362327,29.3003457490941,3.25337252625703
78,15.9330684229769,1.78241782427935,3.52204670402648,0.394008150630172,25.9401535026712,2.90190129987937,12.3096719661413,11.939640928187,11.1373222550802,10.8025322683597,25.7916936433437,25.0163905162014,5903.8991948775,651.561251803338,29.8352256330608,3.3014127844557
79,15.982030832654,1.69951297949351,3.53286997353403,0.375681816519618,26.019867741584,2.76692639468417,11.6440392920719,11.3842974702915,10.5350831690175,10.300078663597,24.3970347071983,23.8528137472773,5981.42017512005,658.036118402421,30.375716422259,3.35229975364118
80,15.9773101630255,1.71426050068398,3.53182645708985,0.378941794888038,26.0121821601538,2.79093639409602,11.7510346209822,11.4830846935769,10.6318884666029,10.3894575799029,24.6212153963436,24.0597965008278,6151.9059291534,674.448032836154,30.9204282624191,3.40166014047566
81,16.015657826667,1.72874642299797,3.54030330905271,0.382143946136395,26.0746148476263,2.81452049217915,11.8515371293369,11.5801195798907,10.7228193074953,10.4772510484726,24.8317920805153,24.2631076911996,6301.19364984914,688.643917317306,31.4632637883641,3.44939220674777
82,15.7840304810853,1.59464076643067,3.48910147476622,0.35249953784257,25.6975092744687,2.59618707236432,10.8493699382875,10.6818041770476,9.81609661083156,9.66448949351923,22.732013204031,22.3809230376235,6436.8352919797,700.939750790706,32.0035152662087,3.49759543120434
83,15.9126903765506,1.79655734186149,3.51754208323751,0.397133728200962,25.9069766130509,2.92492142674994,12.4030478159059,12.0343554000291,11.221805166772,10.8882263143121,25.9873382809458,25.2148398857753,6665.63279631012,723.686198361267,32.5370849215533,3.54312875222806
84,16.4022281741263,1.9213856927034,3.62575570164896,0.424727363650226,26.7039785010336,3.12815074180483,13.4472910204853,12.8705261712189,12.1665966375819,11.64476177396,28.1752764238739,26.9668167396968,6731.84528876275,729.873730782113,33.0653715621899,3.58989968011593
85,16.9316712790877,1.95250128520067,3.74279049327201,0.431605547254886,27.5659490298129,3.17880910994075,13.5416855098756,13.0789559774208,12.2520011756017,11.8333411224283,28.373055354025,27.403526809834,6731.06117598723,728.949311963114,33.6025434263149,3.6432230216687
86,17.1626067976643,1.86526532892947,3.79383939737843,0.41232180955283,27.941928260057,3.03678285130973,12.761257710338,12.4946002894797,11.545899833163,11.3046383571483,26.7378732978511,26.1791625112907,6744.80970705942,729.053365938147,34.1581257585312,3.69920011401157
