"","x"
"1",4921829
"2",4921828.0156342
"3",4921827.0312686
"4",4921826.04690319
"5",4921825.06253798
"6",4921824.07817297
"7",4921823.09380815
"8",4921822.10944353
"9",4921821.12507911
"10",4921820.14071489
"11",4921819.15635086
"12",4921818.17198703
"13",4921817.18762339
"14",4921816.20325996
"15",4921815.21889672
"16",4921814.23453367
"17",4921813.25017083
"18",4921812.26580818
"19",4921811.28144572
"20",4921810.29708347
"21",4921809.31272141
"22",4921808.32835954
"23",4921807.34399788
"24",4921806.35963641
"25",4921805.37527514
"26",4921804.39091406
"27",4921803.40655318
"28",4921802.4221925
"29",4921801.43783202
"30",4921800.45347173
"31",4921799.46911164
"32",4921798.48475175
"33",4921797.50039205
"34",4921796.51603255
"35",4921795.53167325
"36",4921794.54731414
"37",4921793.56295523
"38",4921792.57859652
"39",4921791.594238
"40",4921790.60987968
"41",4921789.62552156
"42",4921788.64116364
"43",4921787.65680591
"44",4921786.67244838
"45",4921785.68809104
"46",4921784.7037339
"47",4921783.71937696
"48",4921782.73502022
"49",4921781.75066367
"50",4921780.76630732
"51",4921779.78195117
"52",4921778.79759521
"53",4921777.81323945
"54",4921776.82888389
"55",4921775.84452853
"56",4921774.86017336
"57",4921773.87581838
"58",4921772.89146361
"59",4921771.90710903
"60",4921770.92275465
"61",4921769.93840046
"62",4921768.95404648
"63",4921767.96969269
"64",4921766.98533909
"65",4921766.0009857
"66",4921765.01663249
"67",4921764.03227949
"68",4921763.04792668
"69",4921762.06357408
"70",4921761.07922166
"71",4921760.09486945
"72",4921759.11051743
"73",4921758.12616561
"74",4921757.14181398
"75",4921756.15746255
"76",4921755.17311132
"77",4921754.18876029
"78",4921753.20440945
"79",4921752.22005881
"80",4921751.23570836
"81",4921750.25135812
"82",4921749.26700807
"83",4921748.28265821
"84",4921747.29830856
"85",4921746.3139591
"86",4921745.32960983
"87",4921744.34526077
"88",4921743.3609119
"89",4921742.37656323
"90",4921741.39221475
"91",4921740.40786647
"92",4921739.42351839
"93",4921738.43917051
"94",4921737.45482282
"95",4921736.47047533
"96",4921735.48612803
"97",4921734.50178094
"98",4921733.51743404
"99",4921732.53308733
"100",4921731.54874083
"101",4921730.56439452
"102",4921729.5800484
"103",4921728.59570249
"104",4921727.61135677
"105",4921726.62701125
"106",4921725.64266592
"107",4921724.65832079
"108",4921723.67397586
"109",4921722.68963113
"110",4921721.70528659
"111",4921720.72094225
"112",4921719.7365981
"113",4921718.75225416
"114",4921717.76791041
"115",4921716.78356685
"116",4921715.79922349
"117",4921714.81488033
"118",4921713.83053737
"119",4921712.84619461
"120",4921711.86185204
"121",4921710.87750966
"122",4921709.89316749
"123",4921708.90882551
"124",4921707.92448373
"125",4921706.94014214
"126",4921705.95580075
"127",4921704.97145956
"128",4921703.98711857
"129",4921703.00277777
"130",4921702.01843717
"131",4921701.03409677
"132",4921700.04975656
"133",4921699.06541655
"134",4921698.08107674
"135",4921697.09673712
"136",4921696.1123977
"137",4921695.12805848
"138",4921694.14371945
"139",4921693.15938063
"140",4921692.17504199
"141",4921691.19070356
"142",4921690.20636532
"143",4921689.22202728
"144",4921688.23768944
"145",4921687.25335179
"146",4921686.26901434
"147",4921685.28467708
"148",4921684.30034003
"149",4921683.31600317
"150",4921682.3316665
"151",4921681.34733004
"152",4921680.36299377
"153",4921679.37865769
"154",4921678.39432182
"155",4921677.40998614
"156",4921676.42565066
"157",4921675.44131537
"158",4921674.45698029
"159",4921673.47264539
"160",4921672.4883107
"161",4921671.5039762
"162",4921670.5196419
"163",4921669.5353078
"164",4921668.55097389
"165",4921667.56664018
"166",4921666.58230667
"167",4921665.59797335
"168",4921664.61364023
"169",4921663.62930731
"170",4921662.64497458
"171",4921661.66064205
"172",4921660.67630972
"173",4921659.69197759
"174",4921658.70764565
"175",4921657.72331391
"176",4921656.73898236
"177",4921655.75465101
"178",4921654.77031986
"179",4921653.78598891
"180",4921652.80165815
"181",4921651.81732759
"182",4921650.83299723
"183",4921649.84866706
"184",4921648.86433709
"185",4921647.88000732
"186",4921646.89567774
"187",4921645.91134836
"188",4921644.92701918
"189",4921643.94269019
"190",4921642.95836141
"191",4921641.97403281
"192",4921640.98970442
"193",4921640.00537622
"194",4921639.02104822
"195",4921638.03672042
"196",4921637.05239281
"197",4921636.0680654
"198",4921635.08373818
"199",4921635.08373818
"200",4921634.09941117
"201",4921633.11508435
"202",4921632.13075772
"203",4921631.1464313
"204",4921630.16210507
"205",4921629.17777904
"206",4921628.1934532
"207",4921627.20912756
"208",4921626.22480212
"209",4921625.24047688
"210",4921624.25615183
"211",4921623.27182698
"212",4921622.28750232
"213",4921621.30317787
"214",4921620.3188536
"215",4921619.33452954
"216",4921618.35020567
"217",4921617.365882
"218",4921616.38155853
"219",4921615.39723525
"220",4921614.41291218
"221",4921613.42858929
"222",4921612.44426661
"223",4921611.45994412
"224",4921610.47562183
"225",4921609.49129973
"226",4921608.50697783
"227",4921607.52265613
"228",4921606.53833463
"229",4921605.55401332
"230",4921604.56969221
"231",4921603.58537129
"232",4921602.60105058
"233",4921601.61673006
"234",4921600.63240973
"235",4921599.64808961
"236",4921598.66376968
"237",4921597.67944994
"238",4921596.69513041
"239",4921595.71081107
"240",4921594.72649193
"241",4921593.74217298
"242",4921592.75785423
"243",4921591.77353568
"244",4921590.78921733
"245",4921589.80489917
"246",4921588.82058121
"247",4921587.83626345
"248",4921586.85194588
"249",4921585.86762851
"250",4921584.88331133
"251",4921583.89899436
"252",4921582.91467758
"253",4921581.93036099
"254",4921580.94604461
"255",4921579.96172842
"256",4921578.97741243
"257",4921577.99309663
"258",4921577.00878103
"259",4921576.02446563
"260",4921575.04015043
"261",4921574.05583542
"262",4921573.07152061
"263",4921572.08720599
"264",4921571.10289158
"265",4921570.11857735
"266",4921569.13426333
"267",4921568.1499495
"268",4921567.16563587
"269",4921566.18132244
"270",4921565.1970092
"271",4921564.21269617
"272",4921563.22838332
"273",4921562.24407068
"274",4921561.25975823
"275",4921560.27544598
"276",4921559.29113392
"277",4921558.30682206
"278",4921557.3225104
"279",4921556.33819894
"280",4921555.35388767
"281",4921554.3695766
"282",4921553.38526572
"283",4921552.40095505
"284",4921551.41664457
"285",4921550.43233428
"286",4921549.4480242
"287",4921548.46371431
"288",4921547.47940462
"289",4921546.49509512
"290",4921545.51078582
"291",4921544.52647672
"292",4921543.54216781
"293",4921542.55785911
"294",4921541.57355059
"295",4921540.58924228
"296",4921539.60493416
"297",4921538.62062624
"298",4921537.63631852
"299",4921536.65201099
"300",4921535.66770366
"301",4921534.68339652
"302",4921533.69908959
"303",4921532.71478285
"304",4921531.7304763
"305",4921530.74616996
"306",4921529.76186381
"307",4921528.77755786
"308",4921527.7932521
"309",4921526.80894654
"310",4921525.82464118
"311",4921524.84033602
"312",4921523.85603105
"313",4921522.87172628
"314",4921521.8874217
"315",4921520.90311733
"316",4921519.91881314
"317",4921518.93450916
"318",4921517.95020537
"319",4921516.96590178
"320",4921515.98159839
"321",4921514.99729519
"322",4921514.01299219
"323",4921513.02868939
"324",4921512.04438679
"325",4921511.06008438
"326",4921510.07578217
"327",4921509.09148015
"328",4921508.10717833
"329",4921507.12287671
"330",4921506.13857529
"331",4921505.15427406
"332",4921504.16997303
"333",4921503.18567219
"334",4921502.20137156
"335",4921501.21707112
"336",4921500.23277087
"337",4921499.24847083
"338",4921498.26417098
"339",4921497.27987132
"340",4921496.29557187
"341",4921495.31127261
"342",4921494.32697355
"343",4921493.34267468
"344",4921492.35837601
"345",4921491.37407754
"346",4921490.38977927
"347",4921489.40548119
"348",4921488.42118331
"349",4921487.43688562
"350",4921486.45258814
"351",4921485.46829085
"352",4921484.48399375
"353",4921483.49969686
"354",4921482.51540016
"355",4921481.53110365
"356",4921480.54680735
"357",4921479.56251124
"358",4921478.57821532
"359",4921477.59391961
"360",4921476.60962409
"361",4921475.62532877
"362",4921474.64103364
"363",4921473.65673871
"364",4921472.67244398
"365",4921471.68814945
"366",4921470.70385511
"367",4921469.71956097
"368",4921468.73526703
"369",4921467.75097328
"370",4921466.76667973
"371",4921465.78238638
"372",4921464.79809322
"373",4921463.81380026
"374",4921462.8295075
"375",4921461.84521493
"376",4921460.86092256
"377",4921459.87663039
"378",4921458.89233841
"379",4921457.90804664
"380",4921456.92375505
"381",4921455.93946367
"382",4921454.95517248
"383",4921453.97088149
"384",4921452.9865907
"385",4921452.0023001
"386",4921451.0180097
"387",4921450.03371949
"388",4921449.04942949
"389",4921448.06513968
"390",4921447.08085007
"391",4921446.09656065
"392",4921445.11227143
"393",4921444.12798241
"394",4921443.14369358
"395",4921442.15940495
"396",4921441.17511652
"397",4921440.19082829
"398",4921439.20654025
"399",4921438.22225241
"400",4921437.23796476
"401",4921436.25367732
"402",4921435.26939006
"403",4921434.28510301
"404",4921433.30081615
"405",4921432.31652949
"406",4921431.33224303
"407",4921430.34795676
"408",4921429.36367069
"409",4921428.37938482
"410",4921427.39509915
"411",4921426.41081367
"412",4921425.42652838
"413",4921424.4422433
"414",4921423.45795841
"415",4921422.47367372
"416",4921421.48938922
"417",4921420.50510493
"418",4921419.52082083
"419",4921418.53653692
"420",4921417.55225321
"421",4921416.5679697
"422",4921415.58368639
"423",4921414.59940327
"424",4921413.61512035
"425",4921412.63083763
"426",4921411.6465551
"427",4921410.66227277
"428",4921409.67799064
"429",4921408.69370871
"430",4921407.70942697
"431",4921406.72514543
"432",4921405.74086408
"433",4921404.75658293
"434",4921403.77230198
"435",4921402.78802123
"436",4921401.80374067
"437",4921400.81946031
"438",4921399.83518014
"439",4921398.85090018
"440",4921397.86662041
"441",4921396.88234083
"442",4921395.89806146
"443",4921394.91378228
"444",4921393.9295033
"445",4921392.94522451
"446",4921391.96094592
"447",4921390.97666753
"448",4921389.99238933
"449",4921389.00811133
"450",4921388.02383353
"451",4921387.03955593
"452",4921386.05527852
"453",4921385.07100131
"454",4921384.08672429
"455",4921383.10244748
"456",4921382.11817086
"457",4921381.13389443
"458",4921380.14961821
"459",4921379.16534218
"460",4921378.18106634
"461",4921377.19679071
"462",4921376.21251527
"463",4921375.22824003
"464",4921374.24396498
"465",4921373.25969013
"466",4921372.27541548
"467",4921371.29114102
"468",4921370.30686677
"469",4921369.3225927
"470",4921368.33831884
"471",4921367.35404517
"472",4921366.3697717
"473",4921365.38549843
"474",4921364.40122535
"475",4921363.41695247
"476",4921362.43267979
"477",4921361.4484073
"478",4921360.46413501
"479",4921359.47986292
"480",4921358.49559102
"481",4921357.51131932
"482",4921356.52704782
"483",4921355.54277651
"484",4921354.55850541
"485",4921353.57423449
"486",4921352.58996378
"487",4921351.60569326
"488",4921350.62142294
"489",4921349.63715282
"490",4921348.65288289
"491",4921347.66861316
"492",4921346.68434362
"493",4921345.70007429
"494",4921344.71580515
"495",4921343.7315362
"496",4921342.74726746
"497",4921341.76299891
"498",4921340.77873056
"499",4921339.7944624
"500",4921338.81019444
