"day","faeces_c1","faeces_c2","faeces_l1","faeces_l2","faeces_p1","faeces_p2","feed_c1","feed_c2","feed_l1","feed_l2","feed_p1","feed_p2","nh4_1","nh4_2","weight_1","weight_2"
1,34.4030669638585,2.34378832250378,7.60488848674767,0.518100576553456,56.0106072674749,3.81585186540953,22.8749799685034,15.700017471317,20.6964104476935,14.2047777121435,47.9285294578165,32.8952747018064,31755.335057284,3143.33549138527,40.0204778841311,4.00250123402438
2,34.3998581832036,2.12807649591952,7.60417917733975,0.470416909624318,56.0053831473911,3.46465787405848,20.8901224909619,14.255057867403,18.9005870156322,12.8974333086033,43.7697804572536,29.8677402936076,32173.3965096144,3151.83650227197,40.4757734211268,4.00653732377209
3,34.4770976047105,1.9690804250439,7.62125315472548,0.435270409746552,56.1311343459146,3.20580111305399,19.6124060458693,13.1900124165627,17.7445578510246,11.9338207578422,41.0926602865834,27.6362164918452,32601.7749070343,3159.98690708544,40.9294861769297,4.00961858388601
4,34.7615740110447,1.89227751763284,7.68413741296777,0.418292924950423,56.5942818986832,3.08076059011098,19.0708003407332,12.6755431803157,17.2545336416158,11.468348591714,39.9578673805839,26.5582809492331,33073.6518928947,3171.24561769331,41.3824599906219,4.01107093482623
5,34.916677810224,2.03549003777241,7.71842351594425,0.449950429402323,56.8468017682242,3.31392062289966,20.1174592897896,13.6348614970402,18.2015107860001,12.3363032592269,42.1508670833687,28.5682812318937,33232.5107005307,3152.67162029069,41.8368297271099,4.01149722927274
6,35.2526970715356,2.39193972021618,7.79270145791841,0.528744569732015,57.3938647059387,3.89424571993088,23.1353257112139,16.0225627191513,20.9319613577649,14.4966043649466,48.4740157758767,33.5710837925077,33306.7803303878,3128.14586788744,42.2934850377575,4.01225989824468
7,35.0806525537416,2.35632669848039,7.7546705645113,0.520872217558816,57.1137641576704,3.83626522138548,22.756000514897,15.7840065926918,20.5887623706211,14.2807678695775,47.6792391740699,33.0712519084959,33469.6754876156,3113.61667072806,42.7533123567973,4.01535651482345
8,35.09129984496,2.271506422458,7.75702417625431,0.502122472332834,57.1310986949524,3.69817185972122,21.9509900165785,15.2158324949342,19.8604195388092,13.7667055906551,45.9925505109265,31.880791894148,33779.8942505661,3112.86884201493,43.2136150037497,4.02007578854134
9,35.412155877169,2.32115371650355,7.8279502465321,0.513097137332344,57.6534748316014,3.77900113844776,22.3683710675834,15.5483981009809,20.2380500135278,14.0675982818397,46.8670631892223,32.5775960211021,34141.5025921993,3116.73117189279,43.6718383630012,4.02442659841721
10,36.2594930447586,2.45147966783038,8.01525635726244,0.541906031836191,59.0329992026948,3.99118093288883,23.5406509335279,16.4213949041273,21.2986841779538,14.8574525323053,49.3232686226299,34.4067321800754,34734.0065637604,3141.54239242838,44.1314803035988,4.0287026018423
11,36.2997553675465,2.61394995965978,8.02415644966817,0.57782051739848,59.0985490896195,4.25569396941091,25.0744766397823,17.5097126484382,22.6864312455173,15.8421209676352,52.5369986738296,36.6870169776819,34846.5544658862,3123.63150143018,44.5985494635144,4.03374812298866
12,35.9979099817601,2.49046442889027,7.95743273281012,0.55052371585996,58.6071236194269,4.05465085966687,23.8153711405884,16.6825368442407,21.5472405557704,15.0937238114555,49.8988728659947,34.9538867212653,35014.3059556432,3111.53426344028,45.0712031302172,4.04016500520102
