"","x"
"1",733786
"2",733484.413954
"3",733182.951859865
"4",732881.61366665
"5",732580.399323434
"6",732279.308779312
"7",731978.341983403
"8",731677.498884848
"9",731376.779432806
"10",731076.18357646
"11",730775.71126501
"12",730475.36244768
"13",730175.137073714
"14",729875.035092376
"15",729575.056452953
"16",729275.201104751
"17",728975.468997097
"18",728675.860079339
"19",728376.374300847
"20",728077.011611009
"21",727777.771959237
"22",727478.655294962
"23",727179.661567635
"24",726880.790726731
"25",726582.042721742
"26",726283.417502184
"27",725984.91501759
"28",725686.535217518
"29",725388.278051544
"30",725090.143469265
"31",724792.131420299
"32",724494.241854285
"33",724196.474720883
"34",723898.829969773
"35",723601.307550655
"36",723303.907413252
"37",723006.629507305
"38",722709.473782578
"39",722412.440188853
"40",722115.528675935
"41",721818.739193649
"42",721522.071691841
"43",721225.526120375
"44",720929.10242914
"45",720632.800568042
"46",720336.620487008
"47",720040.562135988
"48",719744.62546495
"49",719448.810423884
"50",719153.1169628
"51",718857.545031728
"52",718562.09458072
"53",718266.765559847
"54",717971.557919202
"55",717676.471608897
"56",717381.506579066
"57",717086.662779862
"58",716791.940161459
"59",716497.338674053
"60",716202.858267858
"61",715908.49889311
"62",715614.260500065
"63",715320.143038999
"64",715026.14646021
"65",714732.270714015
"66",714438.515750752
"67",714144.881520778
"68",713851.367974473
"69",713557.975062235
"70",713264.702734485
"71",712971.550941661
"72",712678.519634224
"73",712385.608762654
"74",712092.818277453
"75",711800.148129141
"76",711507.59826826
"77",711215.168645372
"78",710922.859211058
"79",710630.669915923
"80",710338.600710587
"81",710046.651545695
"82",709754.82237191
"83",709463.113139915
"84",709171.523800415
"85",708880.054304133
"86",708588.704601814
"87",708297.474644222
"88",708006.364382143
"89",707715.373766382
"90",707424.502747764
"91",707133.751277135
"92",706843.11930536
"93",706552.606783326
"94",706262.213661938
"95",705971.939892123
"96",705681.785424827
"97",705391.750211017
"98",705101.834201681
"99",704812.037347824
"100",704522.359600474
"101",704232.800910678
"102",703943.361229504
"103",703654.040508039
"104",703364.83869739
"105",703075.755748685
"106",702786.791613073
"107",702497.94624172
"108",702209.219585814
"109",701920.611596564
"110",701632.122225198
"111",701343.751422964
"112",701055.499141129
"113",700767.365330982
"114",700479.349943831
"115",700191.452931004
"116",699903.674243849
"117",699616.013833735
"118",699328.471652049
"119",699041.0476502
"120",698753.741779616
"121",698466.553991745
"122",698179.484238054
"123",697892.532470032
"124",697605.698639187
"125",697318.982697046
"126",697032.384595158
"127",696745.904285089
"128",696459.541718428
"129",696173.296846782
"130",695887.169621778
"131",695601.159995063
"132",695315.267918305
"133",695029.493343191
"134",694743.836221427
"135",694458.29650474
"136",694172.874144876
"137",693887.569093603
"138",693602.381302706
"139",693317.31072399
"140",693032.357309283
"141",692747.521010428
"142",692462.801779293
"143",692178.199567762
"144",691893.71432774
"145",691609.346011151
"146",691325.09456994
"147",691040.959956072
"148",690756.94212153
"149",690473.041018318
"150",690189.25659846
"151",689905.588813998
"152",689622.037616995
"153",689338.602959535
"154",689055.284793718
"155",688772.083071668
"156",688488.997745526
"157",688206.028767452
"158",687923.176089629
"159",687640.439664256
"160",687357.819443554
"161",687075.315379763
"162",686792.927425141
"163",686510.65553197
"164",686228.499652546
"165",685946.459739189
"166",685664.535744236
"167",685382.727620045
"168",685101.035318993
"169",684819.458793477
"170",684537.997995913
"171",684256.652878737
"172",683975.423394404
"173",683694.309495389
"174",683413.311134186
"175",683132.42826331
"176",682851.660835294
"177",682571.00880269
"178",682290.472118072
"179",682010.050734032
"180",681729.74460318
"181",681449.553678148
"182",681169.477911587
"183",680889.517256165
