Quantity,Description,Unit,Reference,0,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,49,51,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,84,86,87,88,89,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,111,112,113,114,115,117,118,120,121,122,123,124,125,129,130,131,132,133,134,135,137,141,145,146,147,148,149,150,151,152,153,154,155,157,158,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,215,216,217,218,219,220,222,223,224,225,226,227,229,230,231,232,233,234,235,236,238,239,240,241,242,243,244,245,246,247,248,249,250
meanW,Dry weight average,g,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
deltaW,Dry weight standard deviation,g,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wlb,Dry weight lower bound,g,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
meanImax,Ingestion rate average,g/ gfish d,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
deltaImax,Ingestion rate standard deviation,g/ gfish d,,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
Nseed,Number of seeded individuals,-,,3167400,1211757,895354,1299274,2655769,1272346,1672897,1322834,2201360,2403317,121177,1093949,323134,2366291,1029994,60589,2537957,2436977,1706557,1918614,4746049,1077117,2275411,4739317,1487769,2356194,918917,1740217,2090280,2470637,7156100,481337,2009497,1592114,2184529,2235020,1932080,1925349,2608643,1390154,753983,1514697,1915249,730420,1777243,3063051,2753383,5237483,3901186,2046523,1454109,3015929,1595480,1689729,3056320,3578049,2564886,1538257,2325900,1191560,2228286,939111,3652103,673197,2453809,4931177,2564886,326500,952577,4157000,8287071,2881289,3450143,1979203,2443711,383723,1440646,6425680,2692794,1040091,16527020,1689729,1804171,3217889,787643,4086314,4503697,2261946,3170766,4241151,1750317,1696460,1945543,2904851,1615677,2080183,1191560,1656069,4362326,4140171,1184829,47123,1918614,626074,2733186,552023,2059989,912183,8155800,2652403,1023263,2255214,2322534,447677,737151,3288574,1356494,1619043,4493600,2332631,4473403,2171066,4069486,1413717,3712689,4234417,6230451,632806,4813369,2470637,2908217,2059989,2167700,3837231,3342431,626074,3379457,1440646,733786,3682394,4227686,2154234,488069,2120574,3453509,1874857,2571617,8098577,1666166,1396886,858329,3426580,2736551,2608643,1009797,4018994,4005531,615977,895354,2928414,2043157,3921380,3864160,2383123,336600,3133740,1696460,1090583,397186,3130371,3328966,2349463,6583880,215423,9293503,2739917,2423514,5153334,2457174,2945243,1245417,1464206,9310334,4941277,9660397,2854360,3843963,7169563,5789506,1231954,1864760,5506763,2184529,8509229,3130371,3695860,3847329,2349463,387089,1100680,7263811,313037,2342731,3201057,6607443,3046223,986234,1561820,559525506,0,0,0,0,0,0,0,0,0
mortmyt,natural mortality rate,1/d,,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110,0.0004110
nruns,number of simulations,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
