"Quantity","Description","0","Unit",NA
"meanW","Dry weight average","5","g",NA
"deltaW","Dry weight standard deviation","1","g",NA
"Wlb","Dry weight lower bound","0.0001","g",NA
"meanImax","Ingestion rate average","0.05","g/ gfish d",NA
"deltaImax","Ingestion rate standard deviation","0.005","g/ gfish d",NA
"Nseed","Number of seeded individuals","12576189","-",NA
"mortmyt","natural mortality rate","0.0000001","1/d",NA
"nruns","number of simulations","100","",NA
"","","","",NA
"","","","",NA
"Quantity","Description","Value","Unit",NA
"meanW","Dry weight average","40","g",NA
"deltaW","Dry weight standard deviation","4","g",NA
"Wlb","Dry weight lower bound","0.0001","g",NA
"meanImax","Ingestion rate average","0.05","g/ gfish d",NA
"deltaImax","Ingestion rate standard deviation","0.005","g/ gfish d",NA
"Nseed","Number of seeded individuals","2.00E+04","-",NA
"mortmyt","natural mortality rate","0.000410959","1/d",NA
"nruns","number of simulations","5000","",NA
