"","x"
"1",822253
"2",822252.0132964
"3",822251.026593984
"4",822250.039892752
"5",822249.053192704
"6",822248.06649384
"7",822247.079796161
"8",822246.093099665
"9",822245.106404353
"10",822244.119710225
"11",822243.133017282
"12",822242.146325522
"13",822241.159634947
"14",822240.172945555
"15",822239.186257348
"16",822238.199570324
"17",822237.212884485
"18",822236.226199829
"19",822235.239516358
"20",822234.25283407
"21",822233.266152967
"22",822232.279473047
"23",822231.292794312
"24",822230.306116761
"25",822229.319440393
"26",822228.33276521
"27",822227.346091211
"28",822226.359418395
"29",822225.372746764
"30",822224.386076317
"31",822223.399407053
"32",822222.412738974
"33",822221.426072079
"34",822220.439406368
"35",822219.45274184
"36",822218.466078497
"37",822217.479416338
"38",822216.492755362
"39",822215.506095571
"40",822214.519436964
"41",822213.532779541
"42",822212.546123301
"43",822211.559468246
"44",822210.572814374
"45",822209.586161687
"46",822208.599510184
"47",822207.612859864
"48",822206.626210729
"49",822205.639562777
"50",822204.65291601
"51",822203.666270426
"52",822202.679626027
"53",822201.692982811
"54",822200.70634078
"55",822199.719699932
"56",822198.733060268
"57",822197.746421789
"58",822196.759784493
"59",822195.773148381
"60",822194.786513454
"61",822193.79987971
"62",822192.81324715
"63",822191.826615774
"64",822190.839985582
"65",822189.853356574
"66",822188.86672875
"67",822187.88010211
"68",822186.893476654
"69",822185.906852382
"70",822184.920229294
"71",822183.933607389
"72",822182.946986669
"73",822181.960367132
"74",822180.97374878
"75",822179.987131611
"76",822179.000515627
"77",822178.013900826
"78",822177.02728721
"79",822176.040674777
"80",822175.054063528
"81",822174.067453463
"82",822173.080844582
"83",822172.094236885
"84",822171.107630372
"85",822170.121025043
"86",822169.134420898
"87",822168.147817936
"88",822167.161216159
"89",822166.174615566
"90",822165.188016156
"91",822164.20141793
"92",822163.214820889
"93",822162.228225031
"94",822161.241630357
"95",822160.255036867
"96",822159.268444561
"97",822158.281853439
"98",822157.295263501
"99",822156.308674746
"100",822155.322087176
"101",822154.33550079
"102",822153.348915587
"103",822152.362331568
"104",822151.375748733
"105",822150.389167082
"106",822149.402586616
"107",822148.416007332
"108",822147.429429233
"109",822146.442852318
"110",822145.456276586
"111",822144.469702039
"112",822143.483128675
"113",822142.496556496
"114",822141.5099855
"115",822140.523415688
"116",822139.53684706
"117",822138.550279615
"118",822137.563713355
"119",822136.577148279
"120",822135.590584386
"121",822134.604021677
"122",822133.617460152
"123",822132.630899812
"124",822131.644340654
"125",822130.657782681
"126",822129.671225892
"127",822128.684670286
"128",822127.698115865
"129",822126.711562627
"130",822125.725010573
"131",822124.738459703
"132",822123.751910017
"133",822122.765361515
"134",822121.778814196
"135",822120.792268062
"136",822119.805723111
"137",822118.819179344
"138",822117.832636761
"139",822116.846095362
"140",822115.859555147
"141",822114.873016115
"142",822113.886478267
"143",822112.899941604
"144",822111.913406124
"145",822110.926871828
"146",822109.940338716
"147",822108.953806787
"148",822107.967276043
