Quantity,Description,Unit,,0,2,3,4,5,6,7,8,9,10,12,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,49,51,52,53,54,55,56,57,58,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,78,79,81,84,86,87,88,89,90,91,92,93,95,96,97,99,100,101,102,103,104,105,106,107,108,109,111,112,113,114,115,117,120,121,122,123,124,125,129,131,132,133,134,135,137,140,141,142,143,145,146,147,148,149,150,151,152,153,154,155,156,157,158,161,162,163,164,165,166,167,168,169,170,171,172,173,175,176,177,178,179,180,181,182,183,184,185,186,188,189,192,193,194,195,196,197,198,202,203,204,205,206,207,208,209,211,212,213,215,216,217,218,219,220,221,222,223,224,225,226,227,229,230,231,232,233,234,235,238,240,241,242,243,245,246,247,248,249,250,251,301,302,303,304,306,307,308,309,311,314,315,316,317,318,319,320,321,322,324,326,328,331,332,333,334
meanW,Dry weight average,g,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
deltaW,Dry weight standard deviation,g,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wlb,Dry weight lower bound,g,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
meanImax,Ingestion rate average,g/ gfish d,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
deltaImax,Ingestion rate standard deviation,g/ gfish d,,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
Nseed,Number of seeded individuals,-,,4925,1053,1370,1385,2755,1650,1938,1090,2680,2760,1408,773,5373,1023,9270,2768,5073,2540,2033,3850,7960,2143,3753,5523,4330,4915,1098,2090,2165,2673,2330,8883,898,4275,2783,3983,3895,4955,2968,4713,1488,1393,1753,2143,1083,883,575,4260,3940,7323,5093,3138,1458,2843,1348,2320,4528,3395,3170,4815,2055,3093,1303,3293,780,5213,973,3698,8130,3313,913,6208,3740,12308,2328,2768,228,1488,398,12305,3633,883,2143,1745,3638,730,4993,5435,9043,4103,6855,2650,1813,1945,3248,750,3690,1458,3535,7258,5048,1310,2398,670,3843,708,3413,265,9798,3793,1260,2813,3988,360,545,273,9993,1098,750,1658,2028,5183,663,3255,1318,3145,773,3690,4038,10828,428,833,8195,3535,3328,6980,2828,5898,3520,530,4098,1628,3350,4705,10305,2408,2608,5180,2900,4380,12883,1605,1938,875,5765,3328,2908,398,7565,435,863,4728,2475,5158,4228,3425,553,3443,2048,1408,485,4035,4500,2960,8048,14373,5985,5463,6650,2275,1370,10250,1575,13740,325,5818,14358,3815,5455,10460,11053,1480,2165,10218,2468,17263,4960,3063,5198,3060,663,1253,14380,3048,1565,12590,4550,1370,1895,5210,2420,2158,3558,1015,5268,2350,485,2650,1945,7003,2850,3475,560,3933,3068,1023,1840,1650,890,1340,5538,3725,3660,5853,7548
mortmyt,natural mortality rate,1/d,,0.0002030,0.0009501,0.0007299,0.0007220,0.0003630,0.0006061,0.0005161,0.0009174,0.0003731,0.0003623,0.0007105,0.0012945,0.0001861,0.0009780,0.0001079,0.0003613,0.0001971,0.0003937,0.0004920,0.0002597,0.0001256,0.0004667,0.0002665,0.0001811,0.0002309,0.0002035,0.0009112,0.0004785,0.0004619,0.0003742,0.0004292,0.0001126,0.0011142,0.0002339,0.0003594,0.0002511,0.0002567,0.0002018,0.0003370,0.0002122,0.0006723,0.0007181,0.0005706,0.0004667,0.0009238,0.0011331,0.0017391,0.0002347,0.0002538,0.0001366,0.0001964,0.0003187,0.0006861,0.0003518,0.0007421,0.0004310,0.0002209,0.0002946,0.0003155,0.0002077,0.0004866,0.0003234,0.0007678,0.0003037,0.0012821,0.0001918,0.0010283,0.0002705,0.0001230,0.0003019,0.0010959,0.0001611,0.0002674,0.0000813,0.0004296,0.0003613,0.0043956,0.0006723,0.0025157,0.0000813,0.0002753,0.0011331,0.0004667,0.0005731,0.0002749,0.0013699,0.0002003,0.0001840,0.0001106,0.0002438,0.0001459,0.0003774,0.0005517,0.0005141,0.0003079,0.0013333,0.0002710,0.0006861,0.0002829,0.0001378,0.0001981,0.0007634,0.0004171,0.0014925,0.0002602,0.0014134,0.0002930,0.0037736,0.0001021,0.0002637,0.0007937,0.0003556,0.0002508,0.0027778,0.0018349,0.0036697,0.0001001,0.0009112,0.0013333,0.0006033,0.0004932,0.0001930,0.0015094,0.0003072,0.0007590,0.0003180,0.0012945,0.0002710,0.0002477,0.0000924,0.0023392,0.0012012,0.0001220,0.0002829,0.0003005,0.0001433,0.0003537,0.0001696,0.0002841,0.0018868,0.0002441,0.0006144,0.0002985,0.0002125,0.0000970,0.0004154,0.0003835,0.0001931,0.0003448,0.0002283,0.0000776,0.0006231,0.0005161,0.0011429,0.0001735,0.0003005,0.0003439,0.0025157,0.0001322,0.0022989,0.0011594,0.0002115,0.0004040,0.0001939,0.0002365,0.0002920,0.0018100,0.0002905,0.0004884,0.0007105,0.0020619,0.0002478,0.0002222,0.0003378,0.0001243,0.0000696,0.0001671,0.0001831,0.0001504,0.0004396,0.0007299,0.0000976,0.0006349,0.0000728,0.0030769,0.0001719,0.0000697,0.0002621,0.0001833,0.0000956,0.0000905,0.0006757,0.0004619,0.0000979,0.0004053,0.0000579,0.0002016,0.0003265,0.0001924,0.0003268,0.0015094,0.0007984,0.0000695,0.0003281,0.0006390,0.0000794,0.0002198,0.0007299,0.0005277,0.0001919,0.0004132,0.0004635,0.0002811,0.0009852,0.0001898,0.0004255,0.0020619,0.0003774,0.0005141,0.0001428,0.0003509,0.0002878,0.0017857,0.0002543,0.0003260,0.0009780,0.0005435,0.0006061,0.0011236,0.0007463,0.0001806,0.0002685,0.0002732,0.0001709,0.0001325
nruns,number of simulations,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
