"day","faeces_c1","faeces_c2","faeces_l1","faeces_l2","faeces_p1","faeces_p2","feed_c1","feed_c2","feed_l1","feed_l2","feed_p1","feed_p2","nh4_1","nh4_2","weight_1","weight_2"
1,8.56740267758397,1.57952575206239,1.89384690767646,0.349158324140108,13.9483327803472,2.57157876827,8.70866752542347,10.580555276973,7.87927061824028,9.57288334583269,18.2467319580301,22.1687824850862,3679.9126381789,1361.26652683779,2.6631755146243,1.02078337435911
2,9.03414914684233,1.6792020890895,1.9970224429862,0.371192040746101,14.708228786438,2.7338588397808,9.72782254557825,11.2482436589727,8.80136325552318,10.1769823581182,20.3821043812116,23.5677486188,3855.13622367411,1377.93453223217,2.79060761673364,1.03229644605856
3,9.48159383689376,1.67521917978134,2.09593126920809,0.37031160816219,15.4367001414691,2.7273743839247,9.59584547106177,11.2215638837027,8.68195542619875,10.1528435138263,20.1055809869866,23.5118481372819,4099.54659529999,1416.41835667615,2.9230186589738,1.04476939720703
4,9.75476014066509,1.63989080000211,2.15631539951544,0.362502176842571,15.881434053574,2.66985730245957,9.28524138350381,10.9849144497749,8.40093268031297,9.93873212122488,19.4547914701985,23.0160112280997,4306.80251208472,1438.3389061744,3.06156017986676,1.05778771823294
5,10.0798580779331,1.69630715941959,2.22817915406943,0.374973161555909,16.4107163093367,2.761707094634,9.97807756840597,11.3628230774518,9.02778446665302,10.2806494510278,20.9064482385649,23.8078197813276,4472.7231153165,1445.16901779827,3.20468188018225,1.07026468412341
6,10.6844813200464,1.84593330059312,2.36183271285236,0.408048413815322,17.3950853771983,3.00530895254459,11.6323662295104,12.3651034489491,10.5245218266999,11.1874745490492,24.3725768618312,25.9078357977982,4693.19200622214,1469.13177747257,3.35143861017132,1.08287392704606
7,11.2147481328794,1.79366211505373,2.47904958726808,0.396493730696087,18.2583969601967,2.92020779433308,10.7715655052376,12.014961536245,9.74570212378638,10.8706794851741,22.5689943919264,25.174205123561,5024.0471838386,1523.72538596228,3.50435603928257,1.09698491134868
8,11.1330003876485,1.59090539140491,2.46097903305913,0.351673823363192,18.1253058942768,2.59010561969081,8.8887395163506,10.6567825261573,8.04219289574578,9.64185085699948,18.624025653306,22.3284967214725,5248.82535361442,1540.9677393546,3.66477637415224,1.11147698077629
9,11.321402234317,1.76508115596493,2.50262575705956,0.39017583447646,18.4320373218354,2.87367598725519,11.0638111401188,11.8235101356503,10.0101148410598,10.6974615513026,23.1813185792964,24.7730688556482,5288.26908732485,1505.45015365373,3.82750917248913,1.12369297119556
10,12.0747079072523,1.9853162235807,2.66914595844524,0.438859375738892,19.65847182093,3.23223413242613,13.8067535414241,13.2987689617846,12.491824632717,12.0322195368527,28.9284359915553,27.8640873485011,5550.07860118733,1536.32945546703,3.99015731233432,1.13590720134761
11,13.1759508738361,2.14434940824394,2.9125786142164,0.474014079717082,21.4513726507366,3.49115131728136,15.2408274498655,14.3640630217297,13.7893200736878,12.9960570196603,31.9331622759087,30.096132045529,5992.45401985112,1613.7218615419,4.15882381828457,1.15121316133461
12,13.9586852967538,2.02934539634032,3.08560411822979,0.44859214024365,22.7257192199781,3.30391671544529,12.9624169456041,13.5937012195045,11.7279010460228,12.2990630081231,27.1593497907896,28.4820406503904,6506.2870605761,1701.58011666657,4.33996835751406,1.16872015934042
13,14.5395228664965,2.15957329179128,3.21399979154132,0.477379359238072,23.6713635440504,3.51593686803913,14.4573423530614,14.4660411890325,13.0804526051508,13.0883229805532,30.2915744540334,30.3098005865442,6790.52008354061,1723.74121402779,4.53390709795866,1.18574635531325
14,15.2300927068429,2.20749982953769,3.36665207203897,0.487973646529383,24.7956597051759,3.59396463475609,14.7935851241307,14.7870801978601,13.3846722551659,13.3787868456829,30.9960831172263,30.9824537478973,7192.65083875606,1773.63469686204,4.73633996088611,1.20229736364601
15,15.5754309875026,2.08220639945707,3.44299000776374,0.46027720409051,25.3578946603552,3.38997813806343,13.3567417798694,13.9477940633488,12.0846711341675,12.6194327239822,27.9855542054406,29.2239494660641,7586.64109811596,1816.70464338726,4.94667938661195,1.21980093167772
16,16.0176416353102,2.2556155678546,3.54074183517384,0.498609757104701,26.0778446273121,3.67230043327906,15.381162472287,15.1093865789303,13.9162898558787,13.670397380937,32.2271975609822,31.657762355854,7794.7412743659,1814.19629790582,5.16314820256367,1.2363726177087
17,16.6135854032502,2.27253050407161,3.67247677335006,0.502348848268462,27.0480829021337,3.69983913645342,15.4161693463905,15.2226923717715,13.9479627419723,13.7729121458885,32.3005452971991,31.8951649694261,8205.66196991352,1858.77354814369,5.38397315630204,1.25309921450627
18,16.8369454661743,2.13492131669713,3.72185110304905,0.471929975269892,27.4117287589644,3.4758017226227,14.0751101325528,14.3009083415119,12.734623453262,12.9389170708917,29.4907069443963,29.9638079536439,8577.30342455392,1890.79880987288,5.61084188860162,1.27098636570563
19,17.0123969214103,2.19925737576173,3.76063510894334,0.48615163043154,27.6973760404715,3.58054534159102,14.8890766498955,14.7318675888345,13.4710693499054,13.3288325803741,31.196160599781,30.8667701861295,8762.29688078821,1881.19201666049,5.84214331046581,1.28785436072061
