"Quantity","Description","0","Unit",NA
"meanW","Dry weight average","2.5","g",NA
"deltaW","Dry weight standard deviation","1","g",NA
"Wlb","Dry weight lower bound","0.0001","g",NA
"meanImax","Clearence rate average","0.05","g/ gfish d",NA
"deltaImax","Clearance rate standard deviation","0.005","g/ gfish d",NA
"Nseed","Number of seeded individuals","9781480","-",NA
"mortmyt","natural mortality rate","0.0000002","1/d",NA
"nruns","number of simulations","10","",NA
"","","","",NA
"Quantity","Description","Value","Unit",NA
"meanW","Dry weight average","40","g",NA
"deltaW","Dry weight standard deviation","4","g",NA
"Wlb","Dry weight lower bound","0.0001","g",NA
"meanImax","Clearence rate average","0.05","g/ gfish d",NA
"deltaImax","Clearance rate standard deviation","0.005","g/ gfish d",NA
"Nseed","Number of seeded individuals","2.00E+04","-",NA
"mortmyt","natural mortality rate","0.000410959","1/d",NA
"nruns","number of simulations","5000","",NA
"","","","",NA
"Nseed","Number of seeded individuals","4522584","-",NA
