"","x"
"1",1869247
"2",1868478.739483
"3",1867710.79472107
"4",1866943.16558444
"5",1866175.85194339
"6",1865408.85366824
"7",1864642.17062938
"8",1863875.80269725
"9",1863109.74974234
"10",1862344.0116352
"11",1861578.58824642
"12",1860813.47944665
"13",1860048.6851066
"14",1859284.20509702
"15",1858520.03928872
"16",1857756.18755257
"17",1856992.64975949
"18",1856229.42578044
"19",1855466.51548644
"20",1854703.91874858
"21",1853941.63543797
"22",1853179.66542581
"23",1852418.00858332
"24",1851656.66478179
"25",1850895.63389256
"26",1850134.91578703
"27",1849374.51033665
"28",1848614.4174129
"29",1847854.63688734
"30",1847095.16863158
"31",1846336.01251727
"32",1845577.16841613
"33",1844818.63619991
"34",1844060.41574043
"35",1843302.50690956
"36",1842544.90957922
"37",1841787.62362138
"38",1841030.64890808
"39",1840273.98531138
"40",1839517.63270341
"41",1838761.59095637
"42",1838005.85994249
"43",1837250.43953405
"44",1836495.3296034
"45",1835740.53002294
"46",1834986.0406651
"47",1834231.86140238
"48",1833477.99210735
"49",1832724.43265259
"50",1831971.18291077
"51",1831218.24275459
"52",1830465.61205682
"53",1829713.29069027
"54",1828961.27852779
"55",1828209.57544232
"56",1827458.18130681
"57",1826707.09599429
"58",1825956.31937784
"59",1825205.85133058
"60",1824455.69172568
"61",1823705.84043638
"62",1822956.29733596
"63",1822207.06229776
"64",1821458.13519515
"65",1820709.51590159
"66",1819961.20429055
"67",1819213.20023559
"68",1818465.50361029
"69",1817718.11428831
"70",1816971.03214333
"71",1816224.25704912
"72",1815477.78887948
"73",1814731.62750825
"74",1813985.77280934
"75",1813240.22465672
"76",1812494.98292438
"77",1811750.0474864
"78",1811005.41821688
"79",1810261.09499
"80",1809517.07767996
"81",1808773.36616103
"82",1808029.96030754
"83",1807286.85999385
"84",1806544.06509439
"85",1805801.57548364
"86",1805059.39103612
"87",1804317.5116264
"88",1803575.93712912
"89",1802834.66741896
"90",1802093.70237065
"91",1801353.04185898
"92",1800612.68575877
"93",1799872.63394493
"94",1799132.88629238
"95",1798393.44267611
"96",1797654.30297117
"97",1796915.46705265
"98",1796176.93479569
"99",1795438.70607549
"100",1794700.78076729
"101",1793963.1587464
"102",1793225.83988815
"103",1792488.82406796
"104",1791752.11116127
"105",1791015.70104358
"106",1790279.59359045
"107",1789543.78867748
"108",1788808.28618034
"109",1788073.08597472
"110",1787338.18793638
"111",1786603.59194114
"112",1785869.29786485
"113",1785135.30558343
"114",1784401.61497283
"115",1783668.22590908
"116",1782935.13826823
"117",1782202.3519264
"118",1781469.86675976
"119",1780737.68264452
"120",1780005.79945696
"121",1779274.21707338
"122",1778542.93537016
"123",1777811.95422373
"124",1777081.27351054
"125",1776350.89310713
"126",1775620.81289006
"127",1774891.03273596
"128",1774161.55252151
"129",1773432.37212342
"130",1772703.49141848
"131",1771974.91028351
"132",1771246.62859538
"133",1770518.64623103
"134",1769790.96306743
"135",1769063.57898161
"136",1768336.49385064
"137",1767609.70755167
"138",1766883.21996187
"139",1766157.03095846
"140",1765431.14041874
"141",1764705.54822003
"142",1763980.25423971
"143",1763255.25835522
"144",1762530.56044403
"145",1761806.16038369
"146",1761082.05805177
"147",1760358.25332591
"148",1759634.7460838
"149",1758911.53620316
"150",1758188.62356178
"151",1757466.00803749
"152",1756743.68950819
"153",1756021.6678518
"154",1755299.94294631
"155",1754578.51466976
"156",1753857.38290023
"157",1753136.54751586
"158",1752416.00839483
"159",1751695.76541538
"160",1750975.8184558
"161",1750256.16739441
"162",1749536.81210961
"163",1748817.75247983
"164",1748098.98838357
"165",1747380.51969934
"166",1746662.34630574
"167",1745944.46808141
"168",1745226.88490503
"169",1744509.59665533
"170",1743792.60321111
"171",1743075.90445119
"172",1742359.50025446
"173",1741643.39049986
"174",1740927.57506636
"175",1740212.05383301
"176",1739496.82667888
"177",1738781.89348312
"178",1738067.2541249
"179",1737352.90848345
"180",1736638.85643806
