date,
1/1/2018,10
2/1/2018,10
3/1/2018,10
4/1/2018,10
5/1/2018,10
6/1/2018,10
7/1/2018,10
8/1/2018,10
9/1/2018,10
10/1/2018,10
11/1/2018,10
12/1/2018,10
13/01/2018,10
14/01/2018,10
15/01/2018,10
16/01/2018,10
17/01/2018,10
18/01/2018,10
19/01/2018,10
20/01/2018,10
21/01/2018,10
22/01/2018,10
23/01/2018,10
24/01/2018,10
25/01/2018,10
26/01/2018,10
27/01/2018,10
28/01/2018,10
29/01/2018,10
30/01/2018,10
31/01/2018,10
1/2/2018,10
2/2/2018,10
3/2/2018,10
4/2/2018,10
5/2/2018,10
6/2/2018,10
7/2/2018,10
8/2/2018,10
9/2/2018,10
10/2/2018,10
11/2/2018,10
12/2/2018,10
13/02/2018,10
14/02/2018,10
15/02/2018,10
16/02/2018,10
17/02/2018,10
18/02/2018,10
19/02/2018,10
20/02/2018,10
21/02/2018,10
22/02/2018,10
23/02/2018,10
24/02/2018,10
25/02/2018,10
26/02/2018,10
27/02/2018,10
28/02/2018,10
1/3/2018,10
2/3/2018,10
3/3/2018,10
4/3/2018,10
5/3/2018,10
6/3/2018,10
7/3/2018,10
8/3/2018,10
9/3/2018,10
10/3/2018,10
11/3/2018,10
12/3/2018,10
13/03/2018,10
14/03/2018,10
15/03/2018,10
16/03/2018,10
17/03/2018,10
18/03/2018,10
19/03/2018,10
20/03/2018,10
21/03/2018,10
22/03/2018,10
23/03/2018,10
24/03/2018,10
25/03/2018,10
26/03/2018,10
27/03/2018,10
28/03/2018,10
29/03/2018,10
30/03/2018,10
31/03/2018,10
1/4/2018,10
2/4/2018,10
3/4/2018,10
4/4/2018,10
5/4/2018,10
6/4/2018,10
7/4/2018,10
8/4/2018,10
9/4/2018,10
10/4/2018,10
11/4/2018,10
12/4/2018,10
13/04/2018,10
14/04/2018,10
15/04/2018,10
16/04/2018,10
17/04/2018,10
18/04/2018,10
19/04/2018,10
20/04/2018,10
21/04/2018,10
22/04/2018,10
23/04/2018,10
24/04/2018,10
25/04/2018,10
26/04/2018,10
27/04/2018,10
28/04/2018,10
29/04/2018,10
30/04/2018,10
1/5/2018,10
2/5/2018,10
3/5/2018,10
4/5/2018,10
5/5/2018,10
6/5/2018,10
7/5/2018,10
8/5/2018,10
9/5/2018,10
10/5/2018,10
11/5/2018,10
12/5/2018,10
13/05/2018,10
14/05/2018,10
15/05/2018,10
16/05/2018,10
17/05/2018,10
18/05/2018,10
19/05/2018,10
20/05/2018,10
21/05/2018,10
22/05/2018,10
23/05/2018,10
24/05/2018,10
25/05/2018,10
26/05/2018,10
27/05/2018,10
28/05/2018,10
29/05/2018,10
30/05/2018,10
31/05/2018,10
1/6/2018,10
2/6/2018,10
3/6/2018,10
4/6/2018,10
5/6/2018,10
6/6/2018,10
7/6/2018,10
8/6/2018,10
9/6/2018,10
10/6/2018,10
11/6/2018,10
12/6/2018,10
13/06/2018,10
14/06/2018,10
15/06/2018,10
16/06/2018,10
17/06/2018,10
18/06/2018,10
19/06/2018,10
20/06/2018,10
21/06/2018,10
22/06/2018,10
23/06/2018,10
24/06/2018,10
25/06/2018,10
26/06/2018,10
27/06/2018,10
28/06/2018,10
29/06/2018,10
30/06/2018,10
1/7/2018,10
2/7/2018,10
3/7/2018,10
4/7/2018,10
5/7/2018,10
6/7/2018,10
7/7/2018,10
8/7/2018,10
9/7/2018,10
10/7/2018,10
11/7/2018,10
12/7/2018,10
13/07/2018,10
14/07/2018,10
15/07/2018,10
16/07/2018,10
17/07/2018,10
18/07/2018,10
19/07/2018,10
20/07/2018,10
21/07/2018,10
22/07/2018,10
23/07/2018,10
24/07/2018,10
25/07/2018,10
26/07/2018,10
27/07/2018,10
28/07/2018,10
29/07/2018,10
30/07/2018,10
31/07/2018,10
1/8/2018,10
2/8/2018,10
3/8/2018,10
4/8/2018,10
5/8/2018,10
6/8/2018,10
7/8/2018,10
8/8/2018,10
9/8/2018,10
10/8/2018,10
11/8/2018,10
12/8/2018,10
13/08/2018,10
14/08/2018,10
15/08/2018,10
16/08/2018,10
17/08/2018,10
18/08/2018,10
19/08/2018,10
20/08/2018,10
21/08/2018,10
22/08/2018,10
23/08/2018,10
24/08/2018,10
25/08/2018,10
26/08/2018,10
27/08/2018,10
28/08/2018,10
29/08/2018,10
30/08/2018,10
31/08/2018,10
1/9/2018,10
2/9/2018,10
3/9/2018,10
4/9/2018,10
5/9/2018,10
6/9/2018,10
7/9/2018,10
8/9/2018,10
9/9/2018,10
