"","x"
"1",2453809
"2",2452800.484501
"3",2451792.38350187
"4",2450784.69683225
"5",2449777.42432185
"6",2448770.56580046
"7",2447764.12109791
"8",2446758.09004414
"9",2445752.47246913
"10",2444747.26820295
"11",2443742.47707572
"12",2442738.09891764
"13",2441734.13355898
"14",2440730.58083009
"15",2439727.44056137
"16",2438724.7125833
"17",2437722.39672643
"18",2436720.49282137
"19",2435719.00069882
"20",2434717.92018954
"21",2433717.25112434
"22",2432716.99333413
"23",2431717.14664987
"24",2430717.71090259
"25",2429718.68592341
"26",2428720.0715435
"27",2427721.86759409
"28",2426724.07390651
"29",2425726.69031214
"30",2424729.71664242
"31",2423733.15272888
"32",2422736.99840311
"33",2421741.25349676
"34",2420745.91784158
"35",2419750.99126934
"36",2418756.47361193
"37",2417762.36470128
"38",2416768.66436938
"39",2415775.37244833
"40",2414782.48877025
"41",2413790.01316737
"42",2412797.94547195
"43",2411806.28551637
"44",2410815.03313302
"45",2409824.1881544
"46",2408833.75041307
"47",2407843.71974165
"48",2406854.09597284
"49",2405864.87893939
"50",2404876.06847415
"51",2403887.66441
"52",2402899.66657993
"53",2401912.07481697
"54",2400924.88895422
"55",2399938.10882486
"56",2398951.73426213
"57",2397965.76509935
"58",2396980.20116989
"59",2395995.04230721
"60",2395010.28834482
"61",2394025.93911631
"62",2393041.99445534
"63",2392058.45419562
"64",2391075.31817094
"65",2390092.58621517
"66",2389110.25816224
"67",2388128.33384614
"68",2387146.81310092
"69",2386165.69576074
"70",2385184.98165978
"71",2384204.67063232
"72",2383224.76251269
"73",2382245.2571353
"74",2381266.15433461
"75",2380287.45394518
"76",2379309.15580161
"77",2378331.25973858
"78",2377353.76559083
"79",2376376.67319317
"80",2375399.98238049
"81",2374423.69298773
"82",2373447.80484991
"83",2372472.31780212
"84",2371497.2316795
"85",2370522.54631728
"86",2369548.26155074
"87",2368574.37721525
"88",2367600.89314621
"89",2366627.80917913
"90",2365655.12514955
"91",2364682.84089312
"92",2363710.95624551
"93",2362739.47104249
"94",2361768.3851199
"95",2360797.69831361
"96",2359827.4104596
"97",2358857.52139391
"98",2357888.03095261
"99",2356918.93897189
"100",2355950.24528797
"101",2354981.94973716
"102",2354014.05215582
"103",2353046.55238038
"104",2352079.45024735
"105",2351112.7455933
"106",2350146.43825486
"107",2349180.52806874
"108",2348215.0148717
"109",2347249.89850059
"110",2346285.17879231
"111",2345320.85558382
"112",2344356.92871218
"113",2343393.39801448
"114",2342430.26332789
"115",2341467.52448967
"116",2340505.1813371
"117",2339543.23370757
"118",2338581.68143852
"119",2337620.52436745
"120",2336659.76233193
"121",2335699.39516961
"122",2334739.4227182
"123",2333779.84481546
"124",2332820.66129924
"125",2331861.87200745
"126",2330903.47677805
"127",2329945.4754491
"128",2328987.86785869
"129",2328030.653845
"130",2327073.83324627
"131",2326117.4059008
"132",2325161.37164698
"133",2324205.73032323
"134",2323250.48176807
"135",2322295.62582006
"136",2321341.16231785
"137",2320387.09110014
"138",2319433.41200569
"139",2318480.12487336
