"day","faeces_c1","faeces_c2","faeces_l1","faeces_l2","faeces_p1","faeces_p2","feed_c1","feed_c2","feed_l1","feed_l2","feed_p1","feed_p2","nh4_1","nh4_2","weight_1","weight_2"
1,0.196245098843049,0.0132270778620403,0.0433804955337266,0.00292388036950352,0.319500792502367,0.0215346109753913,0.131508822729046,0.0886024354395015,0.118984172945327,0.0801641082547892,0.27554229524181,0.185643198063721,0.95927212912775,0.0960629008548031,40.158026189278,4.06661325408946
2,0.201073863797236,0.0114327794842196,0.0444479067341259,0.00252724599124842,0.327362360708482,0.0186133673006246,0.11552695374429,0.0765832118560178,0.104524386721024,0.0692895726316332,0.242056474511845,0.160460062936416,0.990568641789437,0.0980865518854024,40.6302837948407,4.068775486509
3,0.202943124051248,0.0114219134773126,0.0448611116323812,0.00252484403182696,0.330405647578172,0.0185956766788524,0.115513199784357,0.0765104252068765,0.104511942662037,0.0692237180443195,0.242027656691033,0.160307557576321,1.00382497767359,0.0982435665257996,41.1155993745476,4.07128511969213
4,0.201237389737806,0.00984808714016597,0.0444840545736203,0.00217694557835236,0.327628592415235,0.0160333769580239,0.10384775474313,0.0659680478288591,0.0939574923866412,0.0596853766070627,0.217585771842748,0.138218766879514,1.01549595386574,0.0982181499882522,41.6080645039262,4.07214877495349
5,0.206008688658072,0.0142719666803679,0.045538762755995,0.00315485579250243,0.335396601885423,0.0232357632971606,0.140960690756637,0.0956016906818891,0.127535863065529,0.086496767759805,0.295346209204383,0.200308304285866,1.01305363062855,0.096890421473941,42.099481474238,4.07183619996089
6,0.211973512608254,0.0126488338156252,0.0468573027870877,0.00279605800134862,0.345107753860455,0.0205931890892983,0.125830604781896,0.0847290303438973,0.11384673765981,0.076659598882576,0.263645076685877,0.177527492149122,1.04793457608367,0.0991455538733225,42.594904110711,4.07385955407738
7,0.216821980745944,0.0137681164903732,0.0479290694280508,0.00304347838208254,0.353001400231993,0.0224154598299416,0.135679596307517,0.0922266176388624,0.122757729992516,0.0834431302446874,0.284281058930036,0.193236722671904,1.0653148247029,0.0996717266487419,43.1031815347632,4.07801107482999
8,0.219347903058087,0.0122931648398688,0.048487431202314,0.00271743643828685,0.357113779013868,0.0200141350375406,0.123570937322744,0.0823465587359676,0.11180227662534,0.0745040293325369,0.258910535342892,0.172535646875357,1.09030465508536,0.100863588868957,43.6240412506613,4.08150099296889
9,0.220444382078821,0.0126543377313862,0.0487298107753183,0.00279727465641173,0.358898923805519,0.0206021498503972,0.126273930685224,0.084765898679143,0.114247842048536,0.0766929559477987,0.264573950007136,0.177604740089633,1.09950463999564,0.100557337417769,44.1532190191776,4.08459425502745
10,0.230388873206718,0.0184555662058438,0.0509280667088534,0.00407965147708127,0.375089253220761,0.0300469569105665,0.185669232814301,0.1236258023358,0.167986448736748,0.111851916399056,0.389021249706154,0.25902549060834,1.11129049011661,0.100581692863867,44.6856130454596,4.08680973711028
11,0.238513589694308,0.0135245951705605,0.052724056669268,0.0029896473534923,0.388316861818101,0.0220189900320698,0.134978138840889,0.0905953743482456,0.1221230779989,0.0819672434579397,0.282811338523768,0.189818879586812,1.17528450950352,0.105243011811825,45.2329394732956,4.09398412556873
12,0.239802661750225,0.0140772863053543,0.0530090094395236,0.00311182118328882,0.390415561586332,0.0229188099848569,0.139165998509041,0.0942976116148091,0.125912093889133,0.085316886699115,0.291585901637991,0.19757594814532,1.18450320418022,0.10483995513916,45.8022675586661,4.10144824228251
13,0.236355405853552,0.0116465147888078,0.0522469844518377,0.00257449274278902,0.384803187073852,0.0189613433754621,0.121219316480467,0.0780149315996665,0.109674619672803,0.0705849381139849,0.253983329768597,0.163459856685023,1.19787150738897,0.104787601999904,46.3803861876703,4.10511140036769
14,0.236456000485395,0.0143634700314606,0.0522692211599295,0.0031750828490596,0.384966962193766,0.0233847371740263,0.140664030595984,0.0962146317896881,0.12726745625351,0.0870513335240002,0.294724635534443,0.201592561845055,1.18642174076572,0.102616051609066,46.9542661145375,4.10747306322735
15,0.233749493249673,0.0117945340256117,0.0516709406130857,0.00260721278460885,0.380560578483678,0.0192023290802929,0.121379051445341,0.0790064480184508,0.10981914178388,0.0714820243976459,0.254318012552144,0.165537319657696,1.20291547848671,0.102904718693634,47.5229680843307,4.11035905529706
16,0.243464793605444,0.0210000302196826,0.0538185333233087,0.00464211194329832,0.396377769238337,0.0341895228839739,0.216244066140374,0.140670058887824,0.195649393174624,0.12727291042232,0.453082805246497,0.294737266241156,1.19398587881099,0.101150907671603,48.0872908989667,4.11367983137294
17,0.26230056908038,0.0197554730758643,0.0579822310598735,0.00436699931150686,0.427043733520338,0.0321632965164951,0.192162622417094,0.132333312469907,0.173861420282133,0.119730139853727,0.40262644696915,0.277269797556002,1.27696293138912,0.107226903548819,48.6627920758134,4.12256599986326
18,0.265192969526989,0.0141236861349233,0.0586216037901765,0.00312207798771992,0.431752764422887,0.0229943521635254,0.142146221274635,0.0946084238703036,0.128608485915146,0.0855980977874172,0.297830177908758,0.198227173823495,1.33899750645592,0.111236137982254,49.2724264203528,4.13741823315426
19,0.262651114130645,0.0148298868577877,0.0580597199657215,0.00327818551593196,0.427614445461822,0.0241440964982935,0.146543250959953,0.0993389550282402,0.132586750868529,0.0898781021684095,0.30704300201133,0.208138762916327,1.32944892132834,0.109186462949589,49.9068047901044,4.14596755940131
20,0.261305611065952,0.0150413649669598,0.0577622929724736,0.00332493330848585,0.425423872051234,0.0244883977005951,0.147700832746872,0.100755554802605,0.13363408677098,0.0911597876785463,0.309468411469637,0.211106876729261,1.33040540748626,0.108081693850218,50.538183453218,4.15065626563588
21,0.266684695708384,0.018863711328153,0.0589513537881691,0.00416987303043381,0.434181399328737,0.0307114458114476,0.180702403596656,0.126359788801021,0.163492650873165,0.114325523200928,0.378614559916803,0.264753843202142,1.33432549136275,0.107322077579414,51.1638503231966,4.15653422311214
22,0.274023539020718,0.0181920946546034,0.0605736244151061,0.00402141039733345,0.446129551247765,0.0296180067359162,0.174054073005261,0.121860921131312,0.157477494623807,0.110255119118807,0.364684724391975,0.255327644275137,1.37852469074074,0.109826372935849,51.7945651284298,4.16592531049396
23,0.273045564904302,0.0149384090577724,0.0603574406630563,0.00330217463382334,0.444537340756478,0.0243207782554599,0.148131036827782,0.100065897994644,0.13402331903466,0.0905358124713451,0.310369791448687,0.209661881512598,1.40971879221237,0.111165484278387,52.4401470023152,4.17788029490592
24,0.279447903463816,0.0211509785269762,0.0617726944498961,0.00467547946385777,0.454960797218282,0.0344352773211124,0.202862311646361,0.141681195874479,0.183542091489565,0.128187748648338,0.425044843449519,0.296855838975095,1.39982668661468,0.10932944980235,53.0913248690457,4.18659584638603
