"","x"
"1",2903169
"2",2903168.1290493
"3",2903167.25809886
"4",2903166.38714868
"5",2903165.51619877
"6",2903164.64524911
"7",2903163.77429972
"8",2903162.90335059
"9",2903162.03240172
"10",2903161.16145311
"11",2903160.29050476
"12",2903159.41955667
"13",2903158.54860885
"14",2903157.67766128
"15",2903156.80671398
"16",2903155.93576694
"17",2903155.06482015
"18",2903154.19387364
"19",2903153.32292738
"20",2903152.45198138
"21",2903151.58103564
"22",2903150.71009017
"23",2903149.83914496
"24",2903148.96820001
"25",2903148.09725532
"26",2903147.22631089
"27",2903146.35536672
"28",2903145.48442281
"29",2903144.61347917
"30",2903143.74253578
"31",2903142.87159266
"32",2903142.0006498
"33",2903141.1297072
"34",2903140.25876486
"35",2903139.38782278
"36",2903138.51688096
"37",2903137.64593941
"38",2903136.77499812
"39",2903135.90405708
"40",2903135.03311631
"41",2903134.1621758
"42",2903133.29123555
"43",2903132.42029557
"44",2903131.54935584
"45",2903130.67841638
"46",2903129.80747717
"47",2903128.93653823
"48",2903128.06559955
"49",2903127.19466113
"50",2903126.32372297
"51",2903125.45278507
"52",2903124.58184744
"53",2903123.71091006
"54",2903122.83997295
"55",2903121.9690361
"56",2903121.09809951
"57",2903120.22716318
"58",2903119.35622711
"59",2903118.4852913
"60",2903117.61435576
"61",2903116.74342047
"62",2903115.87248545
"63",2903115.00155069
"64",2903114.13061619
"65",2903113.25968195
"66",2903112.38874797
"67",2903111.51781425
"68",2903110.6468808
"69",2903109.7759476
"70",2903108.90501467
"71",2903108.034082
"72",2903107.16314959
"73",2903106.29221744
"74",2903105.42128555
"75",2903104.55035393
"76",2903103.67942256
"77",2903102.80849146
"78",2903101.93756062
"79",2903101.06663003
"80",2903100.19569971
"81",2903099.32476966
"82",2903098.45383986
"83",2903097.58291032
"84",2903096.71198105
"85",2903095.84105203
"86",2903094.97012328
"87",2903094.09919479
"88",2903093.22826656
"89",2903092.35733859
"90",2903091.48641088
"91",2903090.61548344
"92",2903089.74455625
"93",2903088.87362933
"94",2903088.00270267
"95",2903087.13177627
"96",2903086.26085013
"97",2903085.38992425
"98",2903084.51899863
"99",2903083.64807328
"100",2903082.77714818
"101",2903081.90622335
"102",2903081.03529878
"103",2903080.16437447
"104",2903079.29345042
"105",2903078.42252663
"106",2903077.5516031
"107",2903076.68067984
"108",2903075.80975683
"109",2903074.93883409
"110",2903074.06791161
"111",2903073.19698939
"112",2903072.32606743
"113",2903071.45514573
"114",2903070.58422429
"115",2903069.71330312
"116",2903068.84238221
"117",2903067.97146155
"118",2903067.10054116
"119",2903066.22962103
"120",2903065.35870116
"121",2903064.48778156
"122",2903063.61686221
"123",2903062.74594312
"124",2903061.8750243
"125",2903061.00410574
"126",2903060.13318744
"127",2903059.2622694
"128",2903058.39135162
"129",2903057.5204341
"130",2903056.64951684
"131",2903055.77859985
"132",2903054.90768312
"133",2903054.03676664
"134",2903053.16585043
"135",2903052.29493448
"136",2903051.42401879
"137",2903050.55310337
"138",2903049.6821882
"139",2903048.8112733
"140",2903047.94035865
"141",2903047.06944427
"142",2903046.19853015
"143",2903045.32761629
"144",2903044.45670269
"145",2903043.58578936
"146",2903042.71487628
"147",2903041.84396347
"148",2903040.97305091
"149",2903040.10213862
"150",2903039.23122659
"151",2903038.36031482
"152",2903037.48940331
"153",2903036.61849206
"154",2903035.74758108
"155",2903034.87667036
"156",2903034.00575989
"157",2903033.13484969
"158",2903032.26393975
"159",2903031.39303007
"160",2903030.52212065
"161",2903029.6512115
"162",2903028.7803026
"163",2903027.90939397
"164",2903027.03848559
"165",2903026.16757748
"166",2903025.29666963
"167",2903024.42576204
"168",2903023.55485472
"169",2903022.68394765
"170",2903021.81304084
"171",2903020.9421343
"172",2903020.07122802
"173",2903019.200322
"174",2903018.32941624
"175",2903017.45851074
"176",2903016.5876055
"177",2903015.71670052
"178",2903014.84579581
"179",2903013.97489135
"180",2903013.10398716
"181",2903012.23308323
"182",2903011.36217956
"183",2903010.49127615
"184",2903009.62037301
"185",2903008.74947012
"186",2903007.87856749
"187",2903007.00766513
"188",2903006.13676303
"189",2903005.26586119
"190",2903004.39495961
"191",2903003.52405829
"192",2903002.65315723
"193",2903001.78225644
"194",2903000.9113559
"195",2903000.04045563
"196",2902999.16955562
"197",2902998.29865586
"198",2902997.42775638
"199",2902997.42775638
"200",2902996.55685715
"201",2902995.68595818
"202",2902994.81505947
"203",2902993.94416103
"204",2902993.07326285
"205",2902992.20236492
"206",2902991.33146726
"207",2902990.46056986
"208",2902989.58967273
"209",2902988.71877585
"210",2902987.84787923
"211",2902986.97698288
"212",2902986.10608679
"213",2902985.23519095
"214",2902984.36429538
"215",2902983.49340007
"216",2902982.62250503
"217",2902981.75161024
"218",2902980.88071571
"219",2902980.00982145
"220",2902979.13892745
"221",2902978.2680337
"222",2902977.39714022
"223",2902976.52624701
"224",2902975.65535405
"225",2902974.78446135
"226",2902973.91356892
"227",2902973.04267674
"228",2902972.17178483
"229",2902971.30089318
"230",2902970.43000179
"231",2902969.55911066
"232",2902968.68821979
"233",2902967.81732918
"234",2902966.94643884
"235",2902966.07554875
"236",2902965.20465893
"237",2902964.33376937
"238",2902963.46288007
"239",2902962.59199103
"240",2902961.72110225
"241",2902960.85021374
"242",2902959.97932548
"243",2902959.10843749
"244",2902958.23754976
"245",2902957.36666228
"246",2902956.49577507
"247",2902955.62488813
"248",2902954.75400144
"249",2902953.88311501
"250",2902953.01222885
"251",2902952.14134294
"252",2902951.2704573
"253",2902950.39957192
"254",2902949.5286868
"255",2902948.65780194
"256",2902947.78691734
"257",2902946.91603301
"258",2902946.04514893
"259",2902945.17426512
"260",2902944.30338157
"261",2902943.43249828
"262",2902942.56161525
"263",2902941.69073248
"264",2902940.81984997
"265",2902939.94896772
"266",2902939.07808574
"267",2902938.20720402
"268",2902937.33632255
"269",2902936.46544135
"270",2902935.59456041
"271",2902934.72367974
"272",2902933.85279932
"273",2902932.98191916
"274",2902932.11103927
"275",2902931.24015964
"276",2902930.36928026
"277",2902929.49840115
"278",2902928.6275223
"279",2902927.75664371
"280",2902926.88576539
"281",2902926.01488732
"282",2902925.14400952
"283",2902924.27313197
"284",2902923.40225469
"285",2902922.53137767
"286",2902921.66050091
"287",2902920.78962441
"288",2902919.91874818
"289",2902919.0478722
"290",2902918.17699649
"291",2902917.30612103
"292",2902916.43524584
"293",2902915.56437091
"294",2902914.69349624
"295",2902913.82262183
"296",2902912.95174769
"297",2902912.0808738
"298",2902911.21000018
"299",2902910.33912681
"300",2902909.46825371
"301",2902908.59738087
"302",2902907.72650829
"303",2902906.85563598
"304",2902905.98476392
"305",2902905.11389212
"306",2902904.24302059
"307",2902903.37214932
"308",2902902.5012783
"309",2902901.63040755
"310",2902900.75953707
"311",2902899.88866684
