"","x"
"1",2454369
"2",2454368.0182524
"3",2454367.03650519
"4",2454366.05475838
"5",2454365.07301196
"6",2454364.09126593
"7",2454363.10952029
"8",2454362.12777505
"9",2454361.1460302
"10",2454360.16428574
"11",2454359.18254167
"12",2454358.200798
"13",2454357.21905472
"14",2454356.23731183
"15",2454355.25556934
"16",2454354.27382723
"17",2454353.29208552
"18",2454352.31034421
"19",2454351.32860328
"20",2454350.34686275
"21",2454349.36512261
"22",2454348.38338287
"23",2454347.40164351
"24",2454346.41990455
"25",2454345.43816598
"26",2454344.45642781
"27",2454343.47469003
"28",2454342.49295264
"29",2454341.51121564
"30",2454340.52947904
"31",2454339.54774282
"32",2454338.566007
"33",2454337.58427158
"34",2454336.60253654
"35",2454335.6208019
"36",2454334.63906765
"37",2454333.6573338
"38",2454332.67560034
"39",2454331.69386727
"40",2454330.71213459
"41",2454329.7304023
"42",2454328.74867041
"43",2454327.76693891
"44",2454326.78520781
"45",2454325.80347709
"46",2454324.82174677
"47",2454323.84001684
"48",2454322.85828731
"49",2454321.87655816
"50",2454320.89482941
"51",2454319.91310105
"52",2454318.93137309
"53",2454317.94964552
"54",2454316.96791834
"55",2454315.98619155
"56",2454315.00446515
"57",2454314.02273915
"58",2454313.04101354
"59",2454312.05928833
"60",2454311.0775635
"61",2454310.09583907
"62",2454309.11411503
"63",2454308.13239139
"64",2454307.15066813
"65",2454306.16894527
"66",2454305.18722281
"67",2454304.20550073
"68",2454303.22377905
"69",2454302.24205776
"70",2454301.26033686
"71",2454300.27861636
"72",2454299.29689625
"73",2454298.31517653
"74",2454297.3334572
"75",2454296.35173827
"76",2454295.37001973
"77",2454294.38830158
"78",2454293.40658383
"79",2454292.42486646
"80",2454291.44314949
"81",2454290.46143292
"82",2454289.47971673
"83",2454288.49800094
"84",2454287.51628554
"85",2454286.53457053
"86",2454285.55285592
"87",2454284.5711417
"88",2454283.58942787
"89",2454282.60771443
"90",2454281.62600139
"91",2454280.64428874
"92",2454279.66257648
"93",2454278.68086462
"94",2454277.69915315
"95",2454276.71744207
"96",2454275.73573138
"97",2454274.75402109
"98",2454273.77231118
"99",2454272.79060167
"100",2454271.80889256
"101",2454270.82718383
"102",2454269.8454755
"103",2454268.86376757
"104",2454267.88206002
"105",2454266.90035287
"106",2454265.91864611
"107",2454264.93693974
"108",2454263.95523376
"109",2454262.97352818
"110",2454261.99182299
"111",2454261.0101182
"112",2454260.02841379
"113",2454259.04670978
"114",2454258.06500616
"115",2454257.08330294
"116",2454256.1016001
"117",2454255.11989766
"118",2454254.13819561
"119",2454253.15649396
"120",2454252.1747927
"121",2454251.19309183
"122",2454250.21139135
"123",2454249.22969127
"124",2454248.24799157
"125",2454247.26629227
"126",2454246.28459337
"127",2454245.30289485
"128",2454244.32119673
"129",2454243.339499
"130",2454242.35780167
"131",2454241.37610473
"132",2454240.39440817
"133",2454239.41271202
"134",2454238.43101625
"135",2454237.44932088
"136",2454236.4676259
"137",2454235.48593131
"138",2454234.50423712
"139",2454233.52254332
"140",2454232.54084991
"141",2454231.55915689
"142",2454230.57746427
"143",2454229.59577204
"144",2454228.6140802
"145",2454227.63238875
"146",2454226.6506977
"147",2454225.66900704
"148",2454224.68731677
"149",2454223.7056269
"150",2454222.72393741
"151",2454221.74224833
"152",2454220.76055963
"153",2454219.77887132
"154",2454218.79718341
"155",2454217.81549589
"156",2454216.83380877
"157",2454215.85212203
"158",2454214.87043569
"159",2454213.88874975
"160",2454212.90706419
"161",2454211.92537903
"162",2454210.94369426
"163",2454209.96200988
"164",2454208.98032589
"165",2454207.9986423
"166",2454207.0169591
"167",2454206.0352763
"168",2454205.05359388
"169",2454204.07191186
"170",2454203.09023023
"171",2454202.108549
"172",2454201.12686815
"173",2454200.1451877
"174",2454199.16350764
"175",2454198.18182798
"176",2454197.2001487
"177",2454196.21846982
"178",2454195.23679134
"179",2454194.25511324
"180",2454193.27343554
"181",2454192.29175823
"182",2454191.31008131
"183",2454190.32840479
"184",2454189.34672866
"185",2454188.36505292
"186",2454187.38337757
"187",2454186.40170262
"188",2454185.42002806
"189",2454184.43835389
"190",2454183.45668012
"191",2454182.47500673
"192",2454181.49333374
"193",2454180.51166115
"194",2454179.52998894
"195",2454178.54831713
"196",2454177.56664571
"197",2454176.58497469
"198",2454175.60330405
"199",2454175.60330405
"200",2454174.62163381
"201",2454173.63996396
"202",2454172.65829451
"203",2454171.67662544
"204",2454170.69495677
"205",2454169.71328849
"206",2454168.73162061
"207",2454167.74995312
"208",2454166.76828602
"209",2454165.78661931
"210",2454164.80495299
"211",2454163.82328707
"212",2454162.84162154
"213",2454161.85995641
"214",2454160.87829166
"215",2454159.89662731
"216",2454158.91496335
"217",2454157.93329979
"218",2454156.95163661
"219",2454155.96997383
"220",2454154.98831144
"221",2454154.00664945
"222",2454153.02498785
"223",2454152.04332664
"224",2454151.06166582
"225",2454150.08000539
"226",2454149.09834536
"227",2454148.11668572
"228",2454147.13502648
"229",2454146.15336762
"230",2454145.17170916
"231",2454144.19005109
"232",2454143.20839342
"233",2454142.22673613
"234",2454141.24507924
"235",2454140.26342274
"236",2454139.28176664
"237",2454138.30011093
"238",2454137.31845561
"239",2454136.33680068
"240",2454135.35514614
"241",2454134.373492
"242",2454133.39183825
"243",2454132.4101849
"244",2454131.42853193
"245",2454130.44687936
"246",2454129.46522718
"247",2454128.48357539
"248",2454127.501924
"249",2454126.520273
"250",2454125.53862239
"251",2454124.55697218
"252",2454123.57532235
"253",2454122.59367292
"254",2454121.61202389
"255",2454120.63037524
"256",2454119.64872699
"257",2454118.66707913
"258",2454117.68543166
"259",2454116.70378459
"260",2454115.72213791
"261",2454114.74049162
"262",2454113.75884572
"263",2454112.77720022
"264",2454111.79555511
"265",2454110.81391039
"266",2454109.83226606
"267",2454108.85062213
"268",2454107.86897859
"269",2454106.88733544
"270",2454105.90569269
"271",2454104.92405033
"272",2454103.94240836
"273",2454102.96076678
"274",2454101.9791256
"275",2454100.9974848
"276",2454100.0158444
"277",2454099.0342044
"278",2454098.05256478
"279",2454097.07092556
"280",2454096.08928674
"281",2454095.1076483
"282",2454094.12601026
"283",2454093.14437261
"284",2454092.16273535
"285",2454091.18109848
"286",2454090.19946201
"287",2454089.21782593
"288",2454088.23619024
"289",2454087.25455495
"290",2454086.27292005
"291",2454085.29128554
"292",2454084.30965142
"293",2454083.3280177
"294",2454082.34638437
"295",2454081.36475143
"296",2454080.38311888
"297",2454079.40148673
"298",2454078.41985497
"299",2454077.4382236
"300",2454076.45659263
"301",2454075.47496204
"302",2454074.49333185
"303",2454073.51170206
"304",2454072.53007265
"305",2454071.54844364
"306",2454070.56681502
"307",2454069.58518679
"308",2454068.60355896
"309",2454067.62193152
"310",2454066.64030447
"311",2454065.65867781
"312",2454064.67705155
"313",2454063.69542568
"314",2454062.7138002
"315",2454061.73217511
"316",2454060.75055042
"317",2454059.76892612
"318",2454058.78730221
"319",2454057.8056787
"320",2454056.82405558
"321",2454055.84243285
"322",2454054.86081051
"323",2454053.87918857
"324",2454052.89756701
"325",2454051.91594585
"326",2454050.93432509
"327",2454049.95270471
"328",2454048.97108473
"329",2454047.98946514
"330",2454047.00784595
"331",2454046.02622715
"332",2454045.04460874
"333",2454044.06299072
"334",2454043.08137309
"335",2454042.09975586
"336",2454041.11813902
"337",2454040.13652257
"338",2454039.15490652
"339",2454038.17329086
"340",2454037.19167559
"341",2454036.21006071
"342",2454035.22844623
"343",2454034.24683213
"344",2454033.26521844
"345",2454032.28360513
"346",2454031.30199222
"347",2454030.3203797
"348",2454029.33876757
"349",2454028.35715583
"350",2454027.37554449
"351",2454026.39393354
"352",2454025.41232298
"353",2454024.43071282
"354",2454023.44910304
"355",2454022.46749366
"356",2454021.48588468
"357",2454020.50427608
"358",2454019.52266788
"359",2454018.54106007
"360",2454017.55945266
"361",2454016.57784563
"362",2454015.596239
"363",2454014.61463276
"364",2454013.63302692
"365",2454012.65142146
"366",2454011.6698164
"367",2454010.68821173
"368",2454009.70660746
"369",2454008.72500358
"370",2454007.74340009
"371",2454006.76179699
"372",2454005.78019428
"373",2454004.79859197
"374",2454003.81699005
"375",2454002.83538853
"376",2454001.85378739
"377",2454000.87218665
"378",2453999.8905863
"379",2453998.90898635
"380",2453997.92738678
"381",2453996.94578761
"382",2453995.96418883
"383",2453994.98259045
"384",2453994.00099245
"385",2453993.01939485
"386",2453992.03779765
"387",2453991.05620083
"388",2453990.07460441
"389",2453989.09300838
"390",2453988.11141274
"391",2453987.1298175
"392",2453986.14822264
"393",2453985.16662819
"394",2453984.18503412
"395",2453983.20344045
"396",2453982.22184716
"397",2453981.24025427
